mode,family_id,scenario_id,parameter_sample,seed,run,arm_id,run_id,generated_frame_count,completed_frame_count,incomplete_frame_count,deadline_miss_count,all_generated_deadline_miss_rate,all_generated_censored_mean_us,completed_frame_hf7_p99_supported,completed_frame_hf7_p99_us,sender_airtime_us,background_throughput_mbps
fixed,radio_propagation,radio-propagation-qualification-p20,20,21019,1,str_mlo_nmaxinflights_1,d75ad1602644a8b70618,1800,1758,42,42,0.023333333333333334,6570.816666666667,True,25865.210000000054,5810251.0,26.66112
fixed,radio_propagation,radio-propagation-qualification-p20,20,21019,1,score_aware_t2_v2,87e3d980719bbd841679,1800,1752,48,48,0.02666666666666667,7148.738888888889,True,27387.91,7239749.0,26.65952
fixed,radio_propagation,radio-propagation-qualification-p20,20,21019,1,distributional_shadow_t2,38dc033a4b8966ac1f15,1800,1760,40,40,0.022222222222222223,6921.71,True,27449.520000000004,7349149.0,26.65632
fixed,radio_propagation,radio-propagation-qualification-p20,20,21020,1,str_mlo_nmaxinflights_1,86c2a5aade2cb84a3acd,1800,1504,296,296,0.16444444444444445,12727.146111111111,True,31849.410000000007,9936995.0,25.9944
fixed,radio_propagation,radio-propagation-qualification-p20,20,21020,1,score_aware_t2_v2,5a938c649a3512563037,1800,1393,407,407,0.22611111111111112,14443.239444444445,True,31671.99999999995,12878820.0,25.9952
fixed,radio_propagation,radio-propagation-qualification-p20,20,21020,1,distributional_shadow_t2,9466e49d79c60fe1ebc2,1800,1470,330,330,0.18333333333333332,13412.318333333333,True,31125.769999999982,13347231.0,25.9952
fixed,radio_propagation,radio-propagation-qualification-p21,21,21021,1,str_mlo_nmaxinflights_1,0b3d01f2fbf3294895e1,1800,1796,4,4,0.0022222222222222222,3404.2266666666665,True,18504.24999999999,4130217.0,26.3696
fixed,radio_propagation,radio-propagation-qualification-p21,21,21021,1,score_aware_t2_v2,40d2556d43fcf221400d,1800,1796,4,4,0.0022222222222222222,3101.676111111111,True,14648.549999999968,4263862.0,26.3688
fixed,radio_propagation,radio-propagation-qualification-p21,21,21021,1,distributional_shadow_t2,da3b57aa828f4187bbf1,1800,1797,3,3,0.0016666666666666668,3027.6,True,14233.039999999995,4486909.0,26.3688
fixed,radio_propagation,radio-propagation-qualification-p21,21,21022,1,str_mlo_nmaxinflights_1,2939396f8c1375306a77,1800,1776,24,24,0.013333333333333334,4602.6194444444445,True,22182.25,4773936.0,25.34784
fixed,radio_propagation,radio-propagation-qualification-p21,21,21022,1,score_aware_t2_v2,68fe5d5dc0c93a90b8f7,1800,1777,23,23,0.012777777777777779,5286.522777777778,True,20580.800000000003,6289406.0,25.34752
fixed,radio_propagation,radio-propagation-qualification-p21,21,21022,1,distributional_shadow_t2,4a8dc497db2bc7ddf10f,1800,1778,22,22,0.012222222222222223,5309.333888888889,True,21537.490000000005,6290378.0,25.34752
fixed,radio_propagation,radio-propagation-qualification-p21,21,21023,1,str_mlo_nmaxinflights_1,a6728571ddfc3075955f,1800,1795,5,5,0.002777777777777778,3318.701111111111,True,17927.15999999999,4073217.0,26.30352
fixed,radio_propagation,radio-propagation-qualification-p21,21,21023,1,score_aware_t2_v2,b76aaab1f6225a41c43c,1800,1793,7,7,0.0038888888888888888,3622.9422222222224,True,17699.999999999978,4645977.0,26.30416
fixed,radio_propagation,radio-propagation-qualification-p21,21,21023,1,distributional_shadow_t2,3692258cc0e422abd775,1800,1793,7,7,0.0038888888888888888,3525.478888888889,True,15732.64,4778485.0,26.30416
fixed,radio_propagation,radio-propagation-qualification-p21,21,21024,1,str_mlo_nmaxinflights_1,b1d9526ec7d2f41eb6f0,1800,1765,35,35,0.019444444444444445,4979.4383333333335,True,22310.6,4795218.0,26.97776
fixed,radio_propagation,radio-propagation-qualification-p21,21,21024,1,score_aware_t2_v2,515d1c45c324b64ca9d8,1800,1758,42,42,0.023333333333333334,5999.578333333333,True,26810.96000000002,6226642.0,26.97472
fixed,radio_propagation,radio-propagation-qualification-p21,21,21024,1,distributional_shadow_t2,eaf7c05cb6d1563ddf62,1800,1767,33,33,0.018333333333333333,5780.327222222222,True,26372.719999999987,6266935.0,26.97472
fixed,radio_propagation,radio-propagation-qualification-p22,22,21025,1,str_mlo_nmaxinflights_1,dfb6dd3f974f710ff8e4,1800,1800,0,0,0.0,2424.6511111111113,True,10154.669999999998,3515933.0,26.67936
fixed,radio_propagation,radio-propagation-qualification-p22,22,21025,1,score_aware_t2_v2,83aadec8598a1ba57098,1800,1799,1,1,0.0005555555555555556,2568.4394444444442,True,10798.739999999998,3649616.0,26.68256
fixed,radio_propagation,radio-propagation-qualification-p22,22,21025,1,distributional_shadow_t2,36c87af9b5a711cd3c9f,1800,1800,0,0,0.0,2431.2205555555556,True,9307.169999999996,3893903.0,26.68256
fixed,radio_propagation,radio-propagation-qualification-p22,22,21026,1,str_mlo_nmaxinflights_1,393cd886ed9af91aaa78,1800,1795,5,5,0.002777777777777778,3092.492222222222,True,15213.919999999976,3867180.0,27.30912
fixed,radio_propagation,radio-propagation-qualification-p22,22,21026,1,score_aware_t2_v2,9df53474c12554d5b1eb,1800,1793,7,7,0.0038888888888888888,3592.596666666667,True,15984.799999999983,4643520.0,27.04032
fixed,radio_propagation,radio-propagation-qualification-p22,22,21026,1,distributional_shadow_t2,cbf9c8ae898339f940bb,1800,1795,5,5,0.002777777777777778,3496.8866666666668,True,14400.119999999986,4672764.0,27.04032
fixed,radio_propagation,radio-propagation-qualification-p22,22,21027,1,str_mlo_nmaxinflights_1,21a7ce8348580ffe3e95,1800,1800,0,0,0.0,1868.3666666666666,True,5828.03,3130622.0,26.65472
fixed,radio_propagation,radio-propagation-qualification-p22,22,21027,1,score_aware_t2_v2,028d2e41fa69e69d9b7d,1800,1799,1,1,0.0005555555555555556,2127.0516666666667,True,8456.3,3244190.0,26.65328
fixed,radio_propagation,radio-propagation-qualification-p22,22,21027,1,distributional_shadow_t2,82bb046e096888f3cd94,1800,1800,0,0,0.0,2032.951111111111,True,7459.389999999999,3511362.0,26.65328
fixed,radio_propagation,radio-propagation-qualification-p22,22,21028,1,str_mlo_nmaxinflights_1,f296bb5920d7d5793742,1800,1800,0,0,0.0,2492.8433333333332,True,10902.89,3569900.0,27.09808
fixed,radio_propagation,radio-propagation-qualification-p22,22,21028,1,score_aware_t2_v2,eec94034efdd4e8b5ee0,1800,1800,0,0,0.0,2693.108888888889,True,10778.279999999999,3786039.0,27.09872
fixed,radio_propagation,radio-propagation-qualification-p22,22,21028,1,distributional_shadow_t2,4b99d50b4058cdfa6874,1800,1800,0,0,0.0,2603.4377777777777,True,9828.839999999998,4044280.0,27.09872
fixed,radio_propagation,radio-propagation-qualification-p23,23,21029,1,str_mlo_nmaxinflights_1,a99c2fb8301065086595,1800,1312,488,488,0.27111111111111114,16267.913333333334,True,31923.36,9481669.0,26.34
fixed,radio_propagation,radio-propagation-qualification-p23,23,21029,1,score_aware_t2_v2,d4c41da2db37ded9b912,1800,1130,670,670,0.37222222222222223,19658.569444444445,True,32703.210000000003,14221992.0,26.33584
fixed,radio_propagation,radio-propagation-qualification-p23,23,21029,1,distributional_shadow_t2,2d81ee1c5d50a80817bc,1800,1153,647,647,0.35944444444444446,19254.6,True,32717.48,14293224.0,26.33584
fixed,radio_propagation,radio-propagation-qualification-p23,23,21030,1,str_mlo_nmaxinflights_1,5158a50f0ce12503acd2,1800,1437,363,363,0.20166666666666666,14552.833888888888,True,32045.080000000005,8985866.0,26.32752
fixed,radio_propagation,radio-propagation-qualification-p23,23,21030,1,score_aware_t2_v2,da7d1150de1d81ba764f,1800,1254,546,546,0.30333333333333334,18017.54,True,32064.29,11546898.0,26.31712
fixed,radio_propagation,radio-propagation-qualification-p23,23,21030,1,distributional_shadow_t2,d9cba4742bd84662a175,1800,1297,503,503,0.27944444444444444,17364.32222222222,True,32037.28,11834456.0,26.31712
fixed,radio_propagation,radio-propagation-qualification-p23,23,21031,1,str_mlo_nmaxinflights_1,9d6a0166040a124d0331,1800,1293,507,507,0.2816666666666667,17298.797222222223,True,32508.799999999996,10288917.0,25.95728
fixed,radio_propagation,radio-propagation-qualification-p23,23,21031,1,score_aware_t2_v2,326adc21ef0719e45bd4,1800,1175,625,625,0.3472222222222222,19096.189444444444,True,32258.760000000002,12227631.0,25.95792
fixed,radio_propagation,radio-propagation-qualification-p23,23,21031,1,distributional_shadow_t2,bf1f739b4c42fb8db2a4,1800,1241,559,559,0.31055555555555553,18089.466111111113,True,32081.4,12796745.0,25.95744
fixed,radio_propagation,radio-propagation-qualification-p23,23,21032,1,str_mlo_nmaxinflights_1,28fcaa0f259c76f2a43f,1800,1371,429,429,0.23833333333333334,16437.96277777778,True,32416.899999999987,10149693.0,26.73408
fixed,radio_propagation,radio-propagation-qualification-p23,23,21032,1,score_aware_t2_v2,55f076a05db43bee4143,1800,1273,527,527,0.2927777777777778,17812.655,True,32419.24,11169642.0,26.72112
