family_id,mode,arm_id,all_generated_deadline_miss_rate,sender_airtime_us,background_throughput_mbps,all_generated_censored_mean_us
radio_propagation,fixed,str_mlo_nmaxinflights_1,0.06677083333333333,5830317.78125,26.64395,6906.874375
radio_propagation,fixed,score_aware_t2_v2,0.08583333333333333,7116639.21875,26.633235,7681.168038194444
radio_propagation,fixed,distributional_shadow_t2,0.07729166666666666,7341915.53125,26.63312,7420.248854166666
radio_propagation,adaptive,str_mlo_nmaxinflights_1,0.1264236111111111,8093492.78125,26.53574,8150.466041666667
radio_propagation,adaptive,score_aware_t2_v2,0.20272569444444444,9877316.5625,26.64013,10141.607690972221
radio_propagation,adaptive,distributional_shadow_t2,0.18670138888888888,10386340.90625,26.640005,9670.655659722222
obss_intensity,fixed,str_mlo_nmaxinflights_1,0.26711805555555557,4940451.0,46.473530100000005,12707.640659722221
obss_intensity,fixed,score_aware_t2_v2,0.2670138888888889,5688508.28125,46.1116083,13115.876597222223
obss_intensity,fixed,distributional_shadow_t2,0.26428819444444446,5818478.21875,46.154103533333334,13061.32517361111
obss_intensity,adaptive,str_mlo_nmaxinflights_1,0.27618055555555554,4960101.3125,46.39145296666666,12678.442152777778
obss_intensity,adaptive,score_aware_t2_v2,0.30973958333333335,5481755.9375,46.14027013333333,13776.938350694445
obss_intensity,adaptive,distributional_shadow_t2,0.30494791666666665,5665160.03125,46.13345476666667,13637.26421875
obss_geometry_mac,fixed,str_mlo_nmaxinflights_1,0.009236111111111112,4213300.75,26.667255,3897.036875
obss_geometry_mac,fixed,score_aware_t2_v2,0.008940972222222222,4797816.625,26.66599,4018.696579861111
obss_geometry_mac,fixed,distributional_shadow_t2,0.010208333333333333,4976020.5625,26.666215,4037.0989930555556
obss_geometry_mac,adaptive,str_mlo_nmaxinflights_1,0.012864583333333334,3592139.5,26.66745,3572.400763888889
obss_geometry_mac,adaptive,score_aware_t2_v2,0.014305555555555556,4345648.8125,26.666240000000002,3722.7197395833336
obss_geometry_mac,adaptive,distributional_shadow_t2,0.015729166666666666,4455687.25,26.666175,3764.9319791666667
video_workload,fixed,str_mlo_nmaxinflights_1,0.011769386574074074,4617575.75,26.567735,3193.018142361111
video_workload,fixed,score_aware_t2_v2,0.01459201388888889,5245692.0,26.566295,3244.7341999421296
video_workload,fixed,distributional_shadow_t2,0.014409722222222223,5367693.125,26.566385,3184.007269965278
video_workload,adaptive,str_mlo_nmaxinflights_1,0.014563078703703705,3717765.625,26.567325,2823.852521701389
video_workload,adaptive,score_aware_t2_v2,0.01769241898148148,4352042.6875,26.5661,2857.0603356481483
video_workload,adaptive,distributional_shadow_t2,0.01574652777777778,4434327.6875,26.566110000000002,2760.152287326389
legacy_coexistence,fixed,str_mlo_nmaxinflights_1,0.1986284722222222,5507760.25,26.63939,11097.082916666666
legacy_coexistence,fixed,score_aware_t2_v2,0.2812673611111111,6385802.4375,26.482875,14465.974149305555
legacy_coexistence,fixed,distributional_shadow_t2,0.27642361111111113,6517980.09375,26.480015,14371.257152777778
legacy_coexistence,adaptive,str_mlo_nmaxinflights_1,0.2080034722222222,5889385.0625,26.36901,10889.782430555555
legacy_coexistence,adaptive,score_aware_t2_v2,0.3073263888888889,6526615.1875,26.57524,14660.890381944444
legacy_coexistence,adaptive,distributional_shadow_t2,0.30147569444444444,6714635.71875,26.57229,14584.694375
compound_shift,fixed,str_mlo_nmaxinflights_1,0.4090972222222222,5876526.833333333,40.920291666666664,17090.572575231483
compound_shift,fixed,score_aware_t2_v2,0.49019097222222224,5511334.489583333,41.099563333333336,20284.974742476854
compound_shift,fixed,distributional_shadow_t2,0.48288194444444443,5655962.541666667,41.12071,20151.178391203703
compound_shift,adaptive,str_mlo_nmaxinflights_1,0.4259895833333333,7280165.802083333,40.978071666666665,17340.69449797454
compound_shift,adaptive,score_aware_t2_v2,0.5389163773148148,6083288.59375,41.185995,21248.47132378472
compound_shift,adaptive,distributional_shadow_t2,0.5240653935185186,6388713.395833333,41.153396666666666,20956.132971643518
