family_id,scenario_id,mode,arm_id,all_generated_deadline_miss_rate,sender_airtime_us,background_throughput_mbps,all_generated_censored_mean_us
radio_propagation,radio-propagation-qualification-p23,adaptive,distributional_shadow_t2,0.7477777777777778,26082125.0,26.32844,27962.848194444443
obss_intensity,obss-intensity-qualification-p16,fixed,str_mlo_nmaxinflights_1,0.028333333333333335,4538807.0,30.33484,4955.226805555556
obss_intensity,obss-intensity-qualification-p16,fixed,score_aware_t2_v2,0.028055555555555556,5466168.75,30.334600000000002,5205.28
obss_intensity,obss-intensity-qualification-p16,fixed,distributional_shadow_t2,0.024999999999999998,5593828.0,30.33444,5093.32125
obss_intensity,obss-intensity-qualification-p16,adaptive,str_mlo_nmaxinflights_1,0.03236111111111111,3740734.75,30.34216,4494.244722222222
obss_intensity,obss-intensity-qualification-p16,adaptive,score_aware_t2_v2,0.04375,4417703.75,30.33284,4969.045694444445
obss_intensity,obss-intensity-qualification-p16,adaptive,distributional_shadow_t2,0.03305555555555555,4529529.0,30.33308,4562.098888888889
obss_intensity,obss-intensity-qualification-p17,fixed,str_mlo_nmaxinflights_1,0.7209722222222222,6061842.5,72.62484,27083.745
obss_intensity,obss-intensity-qualification-p17,fixed,score_aware_t2_v2,0.5604166666666667,6488132.25,70.82384,23103.95888888889
obss_intensity,obss-intensity-qualification-p17,fixed,distributional_shadow_t2,0.5572222222222223,6570919.25,70.74876,23078.21138888889
obss_intensity,obss-intensity-qualification-p17,adaptive,str_mlo_nmaxinflights_1,0.73875,8203647.0,72.91268,27562.866527777776
obss_intensity,obss-intensity-qualification-p17,adaptive,score_aware_t2_v2,0.7994444444444444,6790617.25,71.94912,28987.33861111111
obss_intensity,obss-intensity-qualification-p17,adaptive,distributional_shadow_t2,0.7984722222222222,6933164.25,71.82024,28959.060555555556
obss_intensity,obss-intensity-qualification-p18,fixed,str_mlo_nmaxinflights_1,0.04416666666666667,4716788.75,40.85692,5730.636527777778
obss_intensity,obss-intensity-qualification-p18,fixed,score_aware_t2_v2,0.07902777777777778,5878432.75,40.72996,7525.097083333333
obss_intensity,obss-intensity-qualification-p18,fixed,distributional_shadow_t2,0.07777777777777778,6016922.25,40.85704,7534.321944444445
obss_intensity,obss-intensity-qualification-p18,adaptive,str_mlo_nmaxinflights_1,0.05291666666666667,4003846.0,40.85704,5494.610138888888
obss_intensity,obss-intensity-qualification-p18,adaptive,score_aware_t2_v2,0.08833333333333333,5465098.5,40.853719999999996,7169.61
obss_intensity,obss-intensity-qualification-p18,adaptive,distributional_shadow_t2,0.09041666666666666,5594218.25,40.85348,7304.768194444445
obss_intensity,obss-intensity-qualification-p19,fixed,str_mlo_nmaxinflights_1,0.28652777777777777,5826959.0,52.22288,14458.394722222221
obss_intensity,obss-intensity-qualification-p19,fixed,score_aware_t2_v2,0.37777777777777777,6840596.0,52.15796,17939.874722222223
obss_intensity,obss-intensity-qualification-p19,fixed,distributional_shadow_t2,0.3695833333333333,7096298.75,52.14466,17816.932777777776
obss_intensity,obss-intensity-qualification-p19,adaptive,str_mlo_nmaxinflights_1,0.27944444444444444,6659664.5,52.463319999999996,14780.040694444444
obss_intensity,obss-intensity-qualification-p19,adaptive,score_aware_t2_v2,0.3883333333333333,7719166.75,51.49922,18008.931666666667
obss_intensity,obss-intensity-qualification-p19,adaptive,distributional_shadow_t2,0.3655555555555556,8178590.5,51.49574,17580.40777777778
