comparison,metric,estimate,ci95_low,ci95_high
adaptive_minus_fixed__str_mlo_nmaxinflights_1,deadline_miss_delta,0.016900800540123467,0.0047160954689989655,0.03016271628791652
adaptive_minus_fixed__str_mlo_nmaxinflights_1,relative_deadline_miss_change,0.10534249725337896,0.03048897777608492,0.21053467992860186
adaptive_minus_fixed__str_mlo_nmaxinflights_1,sender_airtime_ratio,1.082202390710093,0.9645655379271596,1.2042080618351227
adaptive_minus_fixed__str_mlo_nmaxinflights_1,background_throughput_loss,0.0020787873769686493,-0.0049032427484359264,0.008836032150896827
adaptive_minus_fixed__str_mlo_nmaxinflights_1,censored_mean_delta_us,93.90214409722103,-239.6164621790294,459.6087590742547
adaptive_minus_fixed__score_aware_t2_v2,deadline_miss_delta,0.040477912808641936,0.019234886992026756,0.06572507354359569
adaptive_minus_fixed__score_aware_t2_v2,relative_deadline_miss_change,0.21158679381788925,0.10773515737134921,0.35641141702811324
adaptive_minus_fixed__score_aware_t2_v2,sender_airtime_ratio,1.0552836634434364,0.9510337517280386,1.1623352021126905
adaptive_minus_fixed__score_aware_t2_v2,background_throughput_loss,-0.0011077132674417456,-0.005761745073385049,0.0021513674707441155
adaptive_minus_fixed__score_aware_t2_v2,censored_mean_delta_us,599.3772526041648,60.688298734086466,1225.7777477418485
adaptive_minus_fixed__distributional_shadow_t2,deadline_miss_delta,0.03719376929012347,0.016802743786713408,0.06192417717511705
adaptive_minus_fixed__distributional_shadow_t2,relative_deadline_miss_change,0.1982780340074144,0.09651497915221391,0.34280643805831307
adaptive_minus_fixed__distributional_shadow_t2,sender_airtime_ratio,1.0663381241920318,0.9582407866881921,1.1768306998539406
adaptive_minus_fixed__distributional_shadow_t2,background_throughput_loss,-0.000572681468159919,-0.005340533664570968,0.0027220339640332456
adaptive_minus_fixed__distributional_shadow_t2,censored_mean_delta_us,524.785942804785,6.997327088156001,1132.8897243561926
adaptive_v2_minus_adaptive_str,deadline_miss_delta,0.054446855709876535,0.03557294261277165,0.07624504796084733
adaptive_v2_minus_adaptive_str,relative_deadline_miss_change,0.30702396070998317,0.18368466083165189,0.5241886385581898
adaptive_v2_minus_adaptive_str,sender_airtime_ratio,1.0934486332179532,0.9822989637738007,1.2037238923697
adaptive_v2_minus_adaptive_str,background_throughput_loss,-0.0013690600026303734,-0.007153441753677925,0.002863796359206152
adaptive_v2_minus_adaptive_str,censored_mean_delta_us,1825.3415690104157,1238.696364298918,2470.0082820717726
adaptive_distributional_minus_adaptive_str,deadline_miss_delta,0.04744020061728396,0.030390480407221147,0.06711741987598323
adaptive_distributional_minus_adaptive_str,relative_deadline_miss_change,0.267513671827198,0.1584749845135545,0.4571674110285624
adaptive_distributional_minus_adaptive_str,sender_airtime_ratio,1.1345483007074408,1.0210813667019167,1.246520463248132
adaptive_distributional_minus_adaptive_str,background_throughput_loss,-0.001149206202094577,-0.006998256302151007,0.0031594690584541133
adaptive_distributional_minus_adaptive_str,censored_mean_delta_us,1653.0321805073308,1106.1210860603173,2262.3151330017845
