candidate_ordinal,feature_family,ranker,frame_gate,requested_action_fraction,score_threshold,realized_action_fraction,dr_airtime_us_per_eligible_frame,dr_treat_none_deadline_miss,dr_policy_deadline_miss,dr_deadline_miss_benefit,deadline_miss_relative_improvement,dr_treat_none_completed_late18_numerator,dr_policy_completed_late18_numerator,dr_treat_none_completion_probability,dr_policy_completion_probability,dr_treat_none_completed_late18_ratio,dr_policy_completed_late18_ratio,completed_late18_relative_improvement,dr_treat_none_bad12,dr_policy_bad12,dr_bad12_benefit,balanced_min_relative_improvement,mean_relative_improvement,admissible,rejection_reason,selected
10,primary_base,deadline_value_per_cost,p_frames_only,0.10000000000000001,2.7893105652765371e-05,0.10001932740626208,228.88525040745603,0.020215760277452761,0.0062203431296257369,0.013995417147827025,0.69230229067548499,0.035515588448998006,0.021567846921757755,0.97978423972254713,0.99377965687037417,0.036248376947821924,0.021702846071210133,0.40127399076514503,0.1046070973176101,0.070691554627900263,0.033915542689709838,0.40127399076514503,0.54678814072031501,0,completed_late18_improvement,0
11,primary_base,deadline_value_per_cost,p_frames_only,0.125,2.2183201508596539e-05,0.1250483185156552,301.29443419171707,0.020215760277452761,0.0052769795472590916,0.01493878073019367,0.73896704972581895,0.035515588448998006,0.020022742348008833,0.97978423972254713,0.99472302045274075,0.036248376947821924,0.020128962471277313,0.44469341343883778,0.1046070973176101,0.06552128964773965,0.039085807669870444,0.44469341343883778,0.59183023158232839,0,completed_late18_improvement,0
12,primary_base,deadline_value_per_cost,p_frames_only,0.14999999999999999,1.8609525795909576e-05,0.15007730962504831,387.73542820116546,0.020215760277452761,0.0049548414204661495,0.015260918856986612,0.75490204907146474,0.035515588448998006,0.018628310186752216,0.97978423972254713,0.99504515857953379,0.036248376947821924,0.018721070120420326,0.48353356214076698,0.1046070973176101,0.062640690420810302,0.041966406896799792,0.48353356214076698,0.61921780560611583,0,completed_late18_improvement,0
13,primary_base,deadline_value_per_cost,p_frames_only,0.16500000000000001,1.7320413462584838e-05,0.16505604947816002,421.81236282739115,0.020215760277452761,0.004666826981964068,0.015548933295488693,0.76914907389512732,0.035515588448998006,0.017318090542550752,0.97978423972254713,0.99533317301803581,0.036248376947821924,0.017399290018676933,0.51999809415680853,0.1046070973176101,0.05993019784002579,0.044676899477584311,0.51999809415680853,0.64457358402596787,0,assignment_airtime,0
14,primary_base,deadline_value_per_cost,p_frames_only,0.17999999999999999,1.6172711184481159e-05,0.18003478933127173,473.7777987374252,0.020215760277452761,0.0045155652193097258,0.015700195058143036,0.77663144213546742,0.035515588448998006,0.015404946757888244,0.97978423972254713,0.99548443478069015,0.036248376947821924,0.015474824336436788,0.57308917972486961,0.1046070973176101,0.057097401275187067,0.047509696042423034,0.57308917972486961,0.67486031093016852,0,assignment_airtime,0
15,primary_base,deadline_value_per_cost,p_frames_only,0.20000000000000001,1.4744059626536909e-05,0.20003865481252417,521.0351254728339,0.020215760277452761,0.0041207732697293824,0.016094987007723379,0.79616036136294099,0.035515588448998006,0.014493296248269345,0.97978423972254713,0.99587922673027052,0.036248376947821924,0.014553266961752572,0.59851259043400995,0.1046070973176101,0.054009612141903661,0.05059748517570644,0.59851259043400995,0.69733647589847547,0,action_fraction+assignment_airtime,0
16,primary_base,completed_late18_value_per_cost,all_frames,0.050000000000000003,5.9515652537811548e-05,0.05005798221878624,106.90476575695087,0.020215760277452761,0.01012193053533611,0.010093829742116651,0.49930497807567492,0.035515588448998006,0.025321908381074891,0.97978423972254713,0.98987806946466372,0.036248376947821924,0.025580835824324546,0.29429017301527383,0.1046070973176101,0.080365108738001886,0.024241988579608218,0.29429017301527383,0.39679757554547435,0,deadline_improvement+completed_late18_improvement,0
17,primary_base,completed_late18_value_per_cost,all_frames,0.074999999999999997,4.6204942918848246e-05,0.07508697332817936,183.02366280779356,0.020215760277452761,0.0089540141285179738,0.011261746148934788,0.55707754714005731,0.035515588448998006,0.023133905596701629,0.97978423972254713,0.99104598587148196,0.036248376947821924,0.023342918418017399,0.35602858986986952,0.1046070973176101,0.074064403815239613,0.030542693502370488,0.35602858986986952,0.45655306850496341,0,completed_late18_improvement,0
18,primary_base,completed_late18_value_per_cost,all_frames,0.10000000000000001,4.1533796320436522e-05,0.10001932740626208,254.2332291435921,0.020215760277452761,0.0079309805803221313,0.01228477969713063,0.60768328910351244,0.035515588448998006,0.020995678243297483,0.97978423972254713,0.99206901941967773,0.036248376947821924,0.021163525755072111,0.41615245875598367,0.1046070973176101,0.070016484742383103,0.034590612575226998,0.41615245875598367,0.51191787392974808,0,completed_late18_improvement,0
19,primary_base,completed_late18_value_per_cost,all_frames,0.125,3.8897695048945025e-05,0.1250483185156552,320.2670947505074,0.020215760277452761,0.006521511711903313,0.013694248565549448,0.67740457828949674,0.035515588448998006,0.018705231920131769,0.97978423972254713,0.9934784882880966,0.036248376947821924,0.018828019066989079,0.48058311427043332,0.1046070973176101,0.063488555777165168,0.041118541540444933,0.48058311427043332,0.57899384627996509,0,completed_late18_improvement,0
20,primary_base,completed_late18_value_per_cost,all_frames,0.14999999999999999,3.6493387597147375e-05,0.15007730962504831,383.71975153059924,0.020215760277452761,0.0054206516669582563,0.014795108610494505,0.73186011346780411,0.035515588448998006,0.016733156842506633,0.97978423972254713,0.99457934833304162,0.036248376947821924,0.016824355814900171,0.53585905821057445,0.1046070973176101,0.05989465101651148,0.044712446301098621,0.53585905821057445,0.63385958583918933,1,,0
21,primary_base,completed_late18_value_per_cost,all_frames,0.16500000000000001,3.4877819416578859e-05,0.16505604947816002,417.77466922011962,0.020215760277452761,0.004969447729459793,0.015246312547992968,0.75417952818710632,0.035515588448998006,0.015426984378121299,0.97978423972254713,0.99503055227054005,0.036248376947821924,0.015504030849021445,0.57228344675021248,0.1046070973176101,0.057216708777209704,0.047390388540400397,0.57228344675021248,0.66323148746865934,0,assignment_airtime,0
22,primary_base,completed_late18_value_per_cost,all_frames,0.17999999999999999,3.3008138416334987e-05,0.18003478933127173,453.95017766148743,0.020215760277452761,0.0046735779508382241,0.015542182326614537,0.76881512806368191,0.035515588448998006,0.013645495439123898,0.97978423972254713,0.99532642204916166,0.036248376947821924,0.013709568174660507,0.62178808186653778,0.1046070973176101,0.053125689845271995,0.051481407472338106,0.62178808186653778,0.69530160496510984,0,assignment_airtime,0
23,primary_base,completed_late18_value_per_cost,all_frames,0.20000000000000001,3.0574738048017025e-05,0.20003865481252417,511.47151465944529,0.020215760277452761,0.0040653933527084844,0.016150366924744277,0.79889980406807959,0.035515588448998006,0.012279212157229935,0.97978423972254713,0.99593460664729139,0.036248376947821924,0.012329335756859183,0.65986516376700766,0.1046070973176101,0.04942449012857373,0.055182607189036371,0.65986516376700766,0.72938248391754357,0,action_fraction+assignment_airtime,0
24,primary_base,completed_late18_value_per_cost,p_frames_only,0.050000000000000003,5.9515652537811548e-05,0.05005798221878624,106.90476575695087,0.020215760277452761,0.01012193053533611,0.010093829742116651,0.49930497807567492,0.035515588448998006,0.025321908381074891,0.97978423972254713,0.98987806946466372,0.036248376947821924,0.025580835824324546,0.29429017301527383,0.1046070973176101,0.080365108738001886,0.024241988579608218,0.29429017301527383,0.39679757554547435,0,deadline_improvement+completed_late18_improvement,0
25,primary_base,completed_late18_value_per_cost,p_frames_only,0.074999999999999997,4.6204942918848246e-05,0.07508697332817936,183.02366280779356,0.020215760277452761,0.0089540141285179738,0.011261746148934788,0.55707754714005731,0.035515588448998006,0.023133905596701629,0.97978423972254713,0.99104598587148196,0.036248376947821924,0.023342918418017399,0.35602858986986952,0.1046070973176101,0.074064403815239613,0.030542693502370488,0.35602858986986952,0.45655306850496341,0,completed_late18_improvement,0
26,primary_base,completed_late18_value_per_cost,p_frames_only,0.10000000000000001,4.1533796320436522e-05,0.10001932740626208,254.2332291435921,0.020215760277452761,0.0079309805803221313,0.01228477969713063,0.60768328910351244,0.035515588448998006,0.020995678243297483,0.97978423972254713,0.99206901941967773,0.036248376947821924,0.021163525755072111,0.41615245875598367,0.1046070973176101,0.070016484742383103,0.034590612575226998,0.41615245875598367,0.51191787392974808,0,completed_late18_improvement,0
27,primary_base,completed_late18_value_per_cost,p_frames_only,0.125,3.8897695048945025e-05,0.1250483185156552,320.2670947505074,0.020215760277452761,0.006521511711903313,0.013694248565549448,0.67740457828949674,0.035515588448998006,0.018705231920131769,0.97978423972254713,0.9934784882880966,0.036248376947821924,0.018828019066989079,0.48058311427043332,0.1046070973176101,0.063488555777165168,0.041118541540444933,0.48058311427043332,0.57899384627996509,0,completed_late18_improvement,0
28,primary_base,completed_late18_value_per_cost,p_frames_only,0.14999999999999999,3.6493387597147375e-05,0.15007730962504831,383.71975153059924,0.020215760277452761,0.0054206516669582563,0.014795108610494505,0.73186011346780411,0.035515588448998006,0.016733156842506633,0.97978423972254713,0.99457934833304162,0.036248376947821924,0.016824355814900171,0.53585905821057445,0.1046070973176101,0.05989465101651148,0.044712446301098621,0.53585905821057445,0.63385958583918933,1,,0
29,primary_base,completed_late18_value_per_cost,p_frames_only,0.16500000000000001,3.4877819416578859e-05,0.16505604947816002,417.77466922011962,0.020215760277452761,0.004969447729459793,0.015246312547992968,0.75417952818710632,0.035515588448998006,0.015426984378121299,0.97978423972254713,0.99503055227054005,0.036248376947821924,0.015504030849021445,0.57228344675021248,0.1046070973176101,0.057216708777209704,0.047390388540400397,0.57228344675021248,0.66323148746865934,0,assignment_airtime,0
30,primary_base,completed_late18_value_per_cost,p_frames_only,0.17999999999999999,3.2957726944005117e-05,0.18003478933127173,452.17396212916856,0.020215760277452761,0.0048742145623029958,0.015341545715149766,0.75889036596168225,0.035515588448998006,0.013737194937241189,0.97978423972254713,0.99512578543769692,0.036248376947821924,0.013804480939260367,0.6191696814692873,0.1046070973176101,0.053340499110245736,0.051266598207364365,0.6191696814692873,0.68903002371548472,0,assignment_airtime,0
31,primary_base,completed_late18_value_per_cost,p_frames_only,0.20000000000000001,3.0556817364413291e-05,0.20003865481252417,509.05648071307542,0.020215760277452761,0.0042596637583901635,0.015956096519062598,0.78928995496938625,0.035515588448998006,0.012252830856612155,0.97978423972254713,0.99574033624160974,0.036248376947821924,0.012305247071601093,0.66052970897665297,0.1046070973176101,0.049485543844566576,0.055121553473043525,0.66052970897665297,0.72490983197301961,0,action_fraction+assignment_airtime,0
32,primary_base,balanced_normalized_value_per_cost,all_frames,0.050000000000000003,0.0015159283066168427,0.05005798221878624,115.17709790984549,0.020215760277452761,0.0086990514157074608,0.011516708861745301,0.56968962352557317,0.035515588448998006,0.025418094881737879,0.97978423972254713,0.99130094858429241,0.036248376947821924,0.025641148551343817,0.29262629915118088,0.1046070973176101,0.080654485851019642,0.023952611466590456,0.29262629915118088,0.43115796133837703,0,completed_late18_improvement,0
33,primary_base,balanced_normalized_value_per_cost,all_frames,0.074999999999999997,0.0012459402205422521,0.07508697332817936,180.4451863487275,0.020215760277452761,0.0071677771169889621,0.013047983160463799,0.64543618352145793,0.035515588448998006,0.02318085193919768,0.97978423972254713,0.99283222288301087,0.036248376947821924,0.023348206680766814,0.3558827002274994,0.1046070973176101,0.075459748365794679,0.029147348951815418,0.3558827002274994,0.50065944187447864,0,completed_late18_improvement,0
34,primary_base,balanced_normalized_value_per_cost,all_frames,0.10000000000000001,0.0010296482359990478,0.10001932740626208,234.78631558272764,0.020215760277452761,0.0057556644464319563,0.014460095831020805,0.71528825196589707,0.035515588448998006,0.021181991473852996,0.97978423972254713,0.99424433555356795,0.036248376947821924,0.021304613681363792,0.41226020375944217,0.1046070973176101,0.069561246824622114,0.035045850492987987,0.41226020375944217,0.56377422786266962,0,completed_late18_improvement,0
35,primary_base,balanced_normalized_value_per_cost,all_frames,0.125,0.00086099549662321806,0.1250483185156552,304.9036153291309,0.020215760277452761,0.0050234692455606265,0.015192291031892135,0.75150728062582683,0.035515588448998006,0.019364108169743474,0.97978423972254713,0.99497653075443926,0.036248376947821924,0.019461874296734086,0.46309666982472986,0.1046070973176101,0.064455470497901263,0.040151626819708838,0.46309666982472986,0.6073019752252784,0,completed_late18_improvement,0
36,primary_base,balanced_normalized_value_per_cost,all_frames,0.14999999999999999,0.00075560243567451835,0.15007730962504831,395.56402823883479,0.020215760277452761,0.0044058362777822588,0.015809923999670503,0.78205933304936248,0.035515588448998006,0.019822998184666887,0.97978423972254713,0.99559416372221765,0.036248376947821924,0.019910721564050604,0.45071412182919846,0.1046070973176101,0.061790720676562272,0.042816376641047829,0.45071412182919846,0.61638672743928047,0,completed_late18_improvement,0
37,primary_base,balanced_normalized_value_per_cost,all_frames,0.16500000000000001,0.00070533552207052708,0.16505604947816002,437.16871622226074,0.020215760277452761,0.0039735986763466159,0.016242161601106146,0.80344055223198863,0.035515588448998006,0.018368025866480092,0.97978423972254713,0.99602640132365328,0.036248376947821924,0.018441304208472988,0.49125158803610708,0.1046070973176101,0.058271543809406884,0.046335553508203217,0.49125158803610708,0.64734607013404788,0,assignment_airtime+completed_late18_improvement,0
38,primary_base,balanced_normalized_value_per_cost,all_frames,0.17999999999999999,0.000657995929941535,0.18003478933127173,481.1172879589484,0.020215760277452761,0.0037394946502332903,0.016476265627219471,0.8150208253901754,0.035515588448998006,0.015718040322432916,0.97978423972254713,0.99626050534976662,0.036248376947821924,0.015777038473400725,0.56475186472180161,0.1046070973176101,0.055554967049716651,0.04905213026789345,0.56475186472180161,0.68988634505598845,0,assignment_airtime,0
39,primary_base,balanced_normalized_value_per_cost,all_frames,0.20000000000000001,0.0006033774116076529,0.20003865481252417,543.03770859335293,0.020215760277452761,0.00316073740113108,0.017055022876321681,0.84364983766371904,0.035515588448998006,0.014670187371951693,0.97978423972254713,0.99683926259886879,0.036248376947821924,0.014716703005562715,0.59400380803954855,0.1046070973176101,0.052713045477747515,0.051894051839862586,0.59400380803954855,0.7188268228516338,0,action_fraction+assignment_airtime,0
40,primary_base,balanced_normalized_value_per_cost,p_frames_only,0.050000000000000003,0.0015139940660446882,0.05005798221878624,114.51532609540158,0.020215760277452761,0.0088000692034838849,0.011415691073968877,0.56469264164658384,0.035515588448998006,0.025414382835665703,0.97978423972254713,0.99119993079651603,0.036248376947821924,0.025640016757510282,0.29265752244802434,0.1046070973176101,0.080614246035921044,0.02399285128168905,0.29265752244802434,0.42867508204730409,0,completed_late18_improvement,0
41,primary_base,balanced_normalized_value_per_cost,p_frames_only,0.074999999999999997,0.0012451683869585395,0.07508697332817936,179.22024410434543,0.020215760277452761,0.0073702977552303414,0.01284546252222242,0.63541822547971871,0.035515588448998006,0.02317430100741761,0.97978423972254713,0.99262970224476954,0.036248376947821924,0.023346370711062128,0.35593334993541126,0.1046070973176101,0.075592125731602511,0.029014971586007583,0.35593334993541126,0.49567578770756499,0,completed_late18_improvement,0
42,primary_base,balanced_normalized_value_per_cost,p_frames_only,0.10000000000000001,0.001025523291900754,0.10001932740626208,232.30087496183972,0.020215760277452761,0.0059451670918611935,0.014270593185591568,0.70591424659442492,0.035515588448998006,0.021352084739968406,0.97978423972254713,0.99405483290813867,0.036248376947821924,0.021479785654783461,0.4074276570864746,0.1046070973176101,0.069753084975466811,0.034854012342143283,0.4074276570864746,0.55667095184044979,0,completed_late18_improvement,0
43,primary_base,balanced_normalized_value_per_cost,p_frames_only,0.125,0.00085836381185799837,0.1250483185156552,308.87314425392486,0.020215760277452761,0.0052061567698452101,0.015009603507607551,0.74247039446486751,0.035515588448998006,0.01979764872556608,0.97978423972254713,0.99479384323015463,0.036248376947821924,0.019901257793556441,0.45097520304968414,0.1046070973176101,0.06504935433769915,0.039557742979910958,0.45097520304968414,0.59672279875727585,0,completed_late18_improvement,0
44,primary_base,balanced_normalized_value_per_cost,p_frames_only,0.14999999999999999,0.00075060816016048193,0.15007730962504831,384.73344422119277,0.020215760277452761,0.0045461424615213311,0.01566961781593143,0.7751188973787061,0.035515588448998006,0.018132981671158125,0.97978423972254713,0.99545385753847859,0.036248376947821924,0.018215793262378519,0.49747285820274328,0.1046070973176101,0.060407072259094474,0.044200025058515627,0.49747285820274328,0.63629587779072472,0,completed_late18_improvement,0
45,primary_base,balanced_normalized_value_per_cost,p_frames_only,0.16500000000000001,0.00070004374720156193,0.16505604947816002,424.17826913601476,0.020215760277452761,0.0043121070854553918,0.01590365319199737,0.78669577466919149,0.035515588448998006,0.016751382286116775,0.97978423972254713,0.99568789291454451,0.036248376947821924,0.01682392886899798,0.53587083655592782,0.1046070973176101,0.057389273835930017,0.047217823481680084,0.53587083655592782,0.66128330561255966,0,assignment_airtime,0
46,primary_base,balanced_normalized_value_per_cost,p_frames_only,0.17999999999999999,0.0006534663843922317,0.18003478933127173,468.42968907576187,0.020215760277452761,0.0041768611518516394,0.016038899125601122,0.79338589820387728,0.035515588448998006,0.01417042489760461,0.97978423972254713,0.99582313884814821,0.036248376947821924,0.014229861051426563,0.60743453225754429,0.1046070973176101,0.054870628808317522,0.049736468509292579,0.60743453225754429,0.70041021523071079,0,assignment_airtime,0
47,primary_base,balanced_normalized_value_per_cost,p_frames_only,0.20000000000000001,0.00059605913702398539,0.20003865481252417,519.86416474639293,0.020215760277452761,0.00381421551297733,0.016401544764475431,0.81132465657344399,0.035515588448998006,0.013269958436233898,0.97978423972254713,0.99618578448702255,0.036248376947821924,0.013320766711268773,0.63251411972338856,0.1046070973176101,0.05158831269910541,0.053018784618504691,0.63251411972338856,0.72191938814841627,0,action_fraction+assignment_airtime,0
48,primary_base,legacy_bad12_value_per_cost,all_frames,0.050000000000000003,0.00015259305655490607,0.05005798221878624,105.0022280317574,0.020215760277452761,0.0097077951966888509,0.010507965080763911,0.51979074427805505,0.035515588448998006,0.025202083813878867,0.97978423972254713,0.99029220480331104,0.036248376947821924,0.025449138841686057,0.29792335589758773,0.1046070973176101,0.079166026566827002,0.025441070750783105,0.29792335589758773,0.40885705008782136,0,completed_late18_improvement,0
49,primary_base,legacy_bad12_value_per_cost,all_frames,0.074999999999999997,0.00013169158773962408,0.07508697332817936,178.17391959593868,0.020215760277452761,0.0077694022110343271,0.012446358066418434,0.61567598228300258,0.035515588448998006,0.02266015369922867,0.97978423972254713,0.99223059778896561,0.036248376947821924,0.022837588106760023,0.36996936056933499,0.1046070973176101,0.073233611125548159,0.031373486192061935,0.36996936056933499,0.49282267142616876,0,completed_late18_improvement,0
50,primary_base,legacy_bad12_value_per_cost,all_frames,0.10000000000000001,0.00011473703489173204,0.10001932740626208,251.05900586000033,0.020215760277452761,0.0062652495791924567,0.013950510698260305,0.69008093224273759,0.035515588448998006,0.020804611460382073,0.97978423972254713,0.99373475042080739,0.036248376947821924,0.020935779343101511,0.42243539970802774,0.1046070973176101,0.067524634240841319,0.037082463076768789,0.42243539970802774,0.55625816597538269,0,completed_late18_improvement,0
51,primary_base,legacy_bad12_value_per_cost,all_frames,0.125,0.00010794623085530475,0.1250483185156552,321.36509009188933,0.020215760277452761,0.0056302173217367829,0.014585542955715979,0.72149366412816385,0.035515588448998006,0.019043133147044939,0.97978423972254713,0.99436978267826315,0.036248376947821924,0.019150957197988896,0.47167407728197247,0.1046070973176101,0.064178880972850294,0.040428216344759807,0.47167407728197247,0.59658387070506813,0,completed_late18_improvement,0
52,primary_base,legacy_bad12_value_per_cost,all_frames,0.14999999999999999,9.8099488241132349e-05,0.15007730962504831,377.89388792404606,0.020215760277452761,0.0047236031021633245,0.015492157175289437,0.76634056610615331,0.035515588448998006,0.016569308757396931,0.97978423972254713,0.99527639689783653,0.036248376947821924,0.016647947051735161,0.54072572474902225,0.1046070973176101,0.058884001879953067,0.045723095437657034,0.54072572474902225,0.65353314542758778,1,,0
53,primary_base,legacy_bad12_value_per_cost,all_frames,0.16500000000000001,9.2078371380921453e-05,0.16505604947816002,405.03419097212645,0.020215760277452761,0.0040599397000836458,0.016155820577369116,0.79916957639175124,0.035515588448998006,0.014837877288887479,0.97978423972254713,0.99594006029991622,0.036248376947821924,0.014898363747331559,0.58899225284549561,0.1046070973176101,0.05471474464067725,0.049892352676932851,0.58899225284549561,0.69408091461862342,0,assignment_airtime,0
54,primary_base,legacy_bad12_value_per_cost,all_frames,0.17999999999999999,8.7295455159619451e-05,0.18003478933127173,444.05356146595852,0.020215760277452761,0.0038657538389533647,0.016350006438499397,0.80877524337954509,0.035515588448998006,0.013758764998495019,0.97978423972254713,0.99613424616104651,0.036248376947821924,0.013812159406745884,0.61895785219217037,0.1046070973176101,0.052281851050847955,0.052325246266762146,0.61895785219217037,0.71386654778585767,0,assignment_airtime,0
55,primary_base,legacy_bad12_value_per_cost,all_frames,0.20000000000000001,8.1103018601424992e-05,0.20003865481252417,499.30428035967691,0.020215760277452761,0.0035582843531682604,0.016657475924284501,0.82398463850321169,0.035515588448998006,0.012944552899012293,0.97978423972254713,0.99644171564683159,0.036248376947821924,0.012990777780323506,0.64161767024705119,0.1046070973176101,0.04928049893052773,0.055326598387082371,0.64161767024705119,0.73280115437513138,0,action_fraction+assignment_airtime,0
56,primary_base,legacy_bad12_value_per_cost,p_frames_only,0.050000000000000003,0.00015259305655490607,0.05005798221878624,105.0022280317574,0.020215760277452761,0.0097077951966888509,0.010507965080763911,0.51979074427805505,0.035515588448998006,0.025202083813878867,0.97978423972254713,0.99029220480331104,0.036248376947821924,0.025449138841686057,0.29792335589758773,0.1046070973176101,0.079166026566827002,0.025441070750783105,0.29792335589758773,0.40885705008782136,0,completed_late18_improvement,0
57,primary_base,legacy_bad12_value_per_cost,p_frames_only,0.074999999999999997,0.00013169158773962408,0.07508697332817936,178.17391959593868,0.020215760277452761,0.0077694022110343271,0.012446358066418434,0.61567598228300258,0.035515588448998006,0.02266015369922867,0.97978423972254713,0.99223059778896561,0.036248376947821924,0.022837588106760023,0.36996936056933499,0.1046070973176101,0.073233611125548159,0.031373486192061935,0.36996936056933499,0.49282267142616876,0,completed_late18_improvement,0
58,primary_base,legacy_bad12_value_per_cost,p_frames_only,0.10000000000000001,0.00011473703489173204,0.10001932740626208,251.05900586000033,0.020215760277452761,0.0062652495791924567,0.013950510698260305,0.69008093224273759,0.035515588448998006,0.020804611460382073,0.97978423972254713,0.99373475042080739,0.036248376947821924,0.020935779343101511,0.42243539970802774,0.1046070973176101,0.067524634240841319,0.037082463076768789,0.42243539970802774,0.55625816597538269,0,completed_late18_improvement,0
59,primary_base,legacy_bad12_value_per_cost,p_frames_only,0.125,0.00010794623085530475,0.1250483185156552,321.36509009188933,0.020215760277452761,0.0056302173217367829,0.014585542955715979,0.72149366412816385,0.035515588448998006,0.019043133147044939,0.97978423972254713,0.99436978267826315,0.036248376947821924,0.019150957197988896,0.47167407728197247,0.1046070973176101,0.064178880972850294,0.040428216344759807,0.47167407728197247,0.59658387070506813,0,completed_late18_improvement,0
