topology,policy,run_count,deadline_miss_ratio_n,deadline_miss_ratio_mean,deadline_miss_ratio_ci95_low,deadline_miss_ratio_ci95_high,incomplete_ratio_n,incomplete_ratio_mean,incomplete_ratio_ci95_low,incomplete_ratio_ci95_high,latency_p99_us_n,latency_p99_us_mean,latency_p99_us_ci95_low,latency_p99_us_ci95_high,redundant_byte_ratio_n,redundant_byte_ratio_mean,redundant_byte_ratio_ci95_low,redundant_byte_ratio_ci95_high,duplicate_recovery_rate_n,duplicate_recovery_rate_mean,duplicate_recovery_rate_ci95_low,duplicate_recovery_rate_ci95_high,duplicate_no_benefit_ratio_n,duplicate_no_benefit_ratio_mean,duplicate_no_benefit_ratio_ci95_low,duplicate_no_benefit_ratio_ci95_high,background_throughput_mbps_n,background_throughput_mbps_mean,background_throughput_mbps_ci95_low,background_throughput_mbps_ci95_high,max_deadline_miss_burst_n,max_deadline_miss_burst_mean,max_deadline_miss_burst_ci95_low,max_deadline_miss_burst_ci95_high,p95_deadline_miss_burst_n,p95_deadline_miss_burst_mean,p95_deadline_miss_burst_ci95_low,p95_deadline_miss_burst_ci95_high,joint_copy_deadline_exceedance_rate_n,joint_copy_deadline_exceedance_rate_mean,joint_copy_deadline_exceedance_rate_ci95_low,joint_copy_deadline_exceedance_rate_ci95_high,cross_copy_delay_correlation_n,cross_copy_delay_correlation_mean,cross_copy_delay_correlation_ci95_low,cross_copy_delay_correlation_ci95_high
dual_interface,adaptive_airtime_duplication,30,30,0.006111111111114933,0.0033195572257416514,0.008902664996488214,30,0.006111111111114933,0.0033195572257416514,0.008902664996488214,30,16327.531268333332,13930.49921152047,18724.563325146195,30,0.20836283175103334,0.1953887948694407,0.221336868632626,30,0.3517718626369,0.2986620923109892,0.4048816329628108,30,0.6476851315378,0.5945983962462473,0.7007718668293528,30,26.83411733333333,26.62855567057622,27.039678996090444,30,1.0,0.6883208251326742,1.3116791748673258,30,0.8866666666666666,0.6369723444256774,1.1363609889076558,30,0.0005430058253141762,6.013630365856397e-05,0.0010258753469697885,30,0.061910268060244675,0.02855469670122896,0.0952658394192604
mlo_str,fixed_link_0,30,30,0.007148148148149067,0.0045556885857888415,0.009740607710509292,30,0.007148148148149067,0.0045556885857888415,0.009740607710509292,30,19018.823882666667,16967.204259077756,21070.44350625558,30,0.0,0.0,0.0,0,,,,0,,,,30,26.835306666666668,26.6298575308609,27.040755802472436,30,1.8666666666666667,1.3717723360591796,2.361560997274154,30,1.4349999999999998,1.1647448094004909,1.7052551905995088,0,,,,0,,,
dual_interface,fixed_link_1,30,30,0.013074074074075,0.007522610269696376,0.018625537878453623,30,0.013074074074075,0.007522610269696376,0.018625537878453623,30,19508.927796333333,16866.928865204136,22150.92672746253,30,0.0,0.0,0.0,0,,,,0,,,,30,26.83411733333333,26.628572473178885,27.03966219348778,30,2.8666666666666667,2.0222867699603997,3.7110465633729337,30,2.258333333333333,1.7019722491993892,2.8146944174672766,0,,,,0,,,
dual_interface,full_duplication,30,30,0.00042592592592613336,0.00016654332435928185,0.0006853085274929849,30,0.00042592592592613336,0.00016654332435928185,0.0006853085274929849,30,9916.048366666666,8813.229272912755,11018.867460420577,30,0.5,0.5,0.5,30,0.402574074074,0.33761146231670247,0.4675366858312975,30,0.597,0.5320124465740065,0.6619875534259935,30,26.833909333333335,26.628366575525657,27.039452091141012,30,0.43333333333333335,0.19038831172370205,0.6762783549429646,30,0.42666666666666664,0.1893577941056758,0.6639755392276575,30,0.00042592592592592595,0.00016654332435914074,0.0006853085274927111,30,0.09038477550283973,0.06464370740869327,0.11612584359698619
dual_interface,selective_duplication,30,30,0.009759259259262533,0.005723430550971473,0.013795087967553592,30,0.009759259259262533,0.005723430550971473,0.013795087967553592,30,18819.109871,16279.771610708642,21358.44813129136,30,0.012633932976430666,0.008838571312521637,0.016429294640339695,30,0.5871816899564333,0.4920668837347912,0.6822964961780753,30,0.40232962691598334,0.30871155229651426,0.4959477015354524,30,26.834005333333334,26.628490099099658,27.03952056756701,30,1.6666666666666667,1.2030999512773302,2.1302333820560033,30,1.3399999999999996,1.0042652196172983,1.675734780382701,30,0.010488683127572016,-0.0009623241131735943,0.021939690368317624,29,-0.041362753545061116,-0.19895687982728233,0.11623137273716011
