run_id,seed,topology,policy,label,deadline_miss_ratio,redundant_byte_ratio,max_miss_burst,p95_miss_burst,secondary_airtime_fraction,adaptive_actions,actions_t0,actions_t1,actions_t2,actions_t4
eaab66777a2d9287a5a7,20,dual_interface,fixed_link_1,Single 5 GHz,0.0138888888889,0,4,4.0,0.0,0,0,0,0,0
eb5ab31240d7e769fbe3,4,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0782855866667,0,0,0,0,0
ee2a2215122b8624cf54,2,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0,0.173228346457,0,0.0,0.0193538933333,393,137,117,105,34
eecbe4d982fb4084e0b1,15,mlo_str,fixed_link_0,MLO,0,0,0,0.0,0.0,0,0,0,0,0
efae25241c99d6ceb56a,5,dual_interface,fixed_link_1,Single 5 GHz,0.0233333333333,0,5,3.299999999999997,0.0,0,0,0,0,0
f289d948b0961ece62cb,10,dual_interface,fixed_link_1,Single 5 GHz,0.00444444444444,0,4,3.6999999999999993,0.0,0,0,0,0,0
f2ccfa89d0c356adad44,29,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.07151394,0,0,0,0,0
f56550dfd0cb1d7fd4ef,17,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0848627866667,0,0,0,0,0
f7fff506db685bb3b281,9,mlo_str,fixed_link_0,MLO,0.00888888888889,0,2,1.299999999999999,0.0,0,0,0,0,0
f89a7a34a0a77fe66a85,6,mlo_str,fixed_link_0,MLO,0.00388888888889,0,1,1.0,0.0,0,0,0,0,0
f8f2ec500fcfec3a295a,13,mlo_str,fixed_link_0,MLO,0.000555555555556,0,1,1.0,0.0,0,0,0,0,0
f9ec02193b9cf349f2ac,1,mlo_str,fixed_link_0,MLO,0.00611111111111,0,1,1.0,0.0,0,0,0,0,0
fb09730e8bb606ecab83,20,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0771883733333,0,0,0,0,0
fc8f5eca0e3fe44b0b9f,11,mlo_str,fixed_link_0,MLO,0.00111111111111,0,1,1.0,0.0,0,0,0,0,0
fe197bdedfc9b8a9de3a,3,dual_interface,selective_duplication,Selective 0.20,0.0155555555556,0.0161374284227,1,1.0,0.00184639333333,0,0,0,0,0
fe73fbd1722c75162fe1,17,mlo_str,fixed_link_0,MLO,0.00444444444444,0,3,2.8,0.0,0,0,0,0,0
