arm_id,run_count,generated_frames,completed_frames,incomplete_frames,late_completed_frames,deadline_misses,all_generated_deadline_miss_rate,all_generated_censored_mean_us,all_generated_censored_p50_us,all_generated_censored_p90_us,all_generated_censored_p99_us,completed_frame_p99_descriptive_us,mean_per_run_completed_p99_descriptive_us,sender_airtime_mean_us,link_0_airtime_mean_us,link_1_airtime_mean_us,background_bytes_received,miss_burst_count,miss_burst_mean_frames,miss_burst_p95_frames,miss_burst_max_frames,actions,action_packets,action_completion_rate,action_censored_mean_us,action_censored_p95_us,primary_mac_queue_packets_mean,primary_mac_queue_packets_p95,secondary_mac_queue_packets_mean,secondary_mac_queue_packets_p95,primary_frame_queue_packets_mean,primary_frame_queue_packets_p95,secondary_frame_queue_packets_mean,secondary_frame_queue_packets_p95,primary_ack_deficit_packets_mean,primary_ack_deficit_packets_p95
str_mlo_nmaxinflights_1,20,36000,24568,11432,0,11432,0.31755555555555554,15776.438166666667,9766.5,33333.0,33333.0,31460.329999999998,30975.604,6658940.4,2502428.5,4156511.9,6032967600,2967,3.853050219076508,14.0,139,0,0,,,,,,,,,,,,,
single_5ghz_no_redundancy,20,36000,21223,14777,0,14777,0.41047222222222224,19613.798444444445,20353.5,33333.0,33333.0,32185.0,32155.066499999997,7778810.8,0.0,7778810.8,5987278800,3395,4.3525773195876285,15.0,98,0,0,,,,21.74313888888889,89.0,0.0,0.0,9.112027777777778,11.0,0.0,0.0,9.112027777777778,11.0
full_copy_t0,20,36000,29233,6767,0,6767,0.18797222222222223,11459.383666666667,4944.0,33333.0,33333.0,30668.840000000004,28353.092000000004,13920765.65,6141954.85,7778810.8,5972743200,1822,3.714050493962678,13.0,85,36000,383760,0.6443055555555556,16406.7635,33333.0,21.74313888888889,89.0,29.843194444444446,150.0,9.112027777777778,11.0,8.060777777777778,11.0,9.112027777777778,11.0
full_copy_t2,20,36000,29168,6832,0,6832,0.18977777777777777,12316.020888888888,6176.0,33333.0,33333.0,30606.97999999999,28620.543000000005,13964403.6,6185592.8,7778810.8,5968398000,1854,3.685005393743258,13.0,75,36000,383760,0.6393611111111112,15637.546638888889,31333.0,21.74313888888889,89.0,23.008583333333334,150.0,9.112027777777778,11.0,0.0,0.0,9.112027777777778,11.0
ideal_systematic_fec_12p5_t2,20,36000,21390,14610,0,14610,0.4058333333333333,19398.470055555557,19673.5,33333.0,33333.0,32201.76000000001,32181.977499999997,9477213.2,1698402.4,7778810.8,5980924800,3361,4.346920559357335,15.0,98,36000,73680,0.7260277777777778,11458.574361111112,31333.0,21.74313888888889,89.0,2.9541944444444446,23.0,9.112027777777778,11.0,0.0,0.0,9.112027777777778,11.0
