family_id,scenario_id,arm_id,all_generated_deadline_miss_rate,sender_airtime_us,background_throughput_mbps
obss_geometry_mac,obss-geometry-mac-qualification-p19,str_mlo_nmaxinflights_1,0.011388888888888888,4625467.5,26.86904
obss_geometry_mac,obss-geometry-mac-qualification-p19,score_aware_t2_v2,0.010555555555555556,5244498.0,26.86652
obss_geometry_mac,obss-geometry-mac-qualification-p19,distributional_shadow_t2,0.011527777777777777,5441212.75,26.86716
obss_geometry_mac,obss-geometry-mac-qualification-p20,str_mlo_nmaxinflights_1,0.014166666666666666,4657052.5,26.464
obss_geometry_mac,obss-geometry-mac-qualification-p20,score_aware_t2_v2,0.012361111111111111,5002335.25,26.464
obss_geometry_mac,obss-geometry-mac-qualification-p20,distributional_shadow_t2,0.012638888888888889,5302288.0,26.464
obss_geometry_mac,obss-geometry-mac-qualification-p21,str_mlo_nmaxinflights_1,0.010833333333333334,4367152.0,26.70844
obss_geometry_mac,obss-geometry-mac-qualification-p21,score_aware_t2_v2,0.006805555555555555,4554193.0,26.70608
obss_geometry_mac,obss-geometry-mac-qualification-p21,distributional_shadow_t2,0.0061111111111111106,4869452.0,26.70724
obss_geometry_mac,obss-geometry-mac-qualification-p22,str_mlo_nmaxinflights_1,0.013888888888888888,4156005.75,26.63544
obss_geometry_mac,obss-geometry-mac-qualification-p22,score_aware_t2_v2,0.018055555555555554,4731438.75,26.63544
obss_geometry_mac,obss-geometry-mac-qualification-p22,distributional_shadow_t2,0.020416666666666666,4924457.25,26.63544
obss_geometry_mac,obss-geometry-mac-qualification-p23,str_mlo_nmaxinflights_1,0.007916666666666667,4042508.75,26.84732
obss_geometry_mac,obss-geometry-mac-qualification-p23,score_aware_t2_v2,0.0075,4933247.0,26.84732
obss_geometry_mac,obss-geometry-mac-qualification-p23,distributional_shadow_t2,0.01,5015918.5,26.84732
video_workload,video-workload-qualification-p16,str_mlo_nmaxinflights_1,0.01826388888888889,5817001.25,26.23728
video_workload,video-workload-qualification-p16,score_aware_t2_v2,0.02777777777777778,6751311.25,26.2348
video_workload,video-workload-qualification-p16,distributional_shadow_t2,0.028541666666666667,6790170.25,26.2352
video_workload,video-workload-qualification-p17,str_mlo_nmaxinflights_1,0.028958333333333332,8745437.75,26.7426
video_workload,video-workload-qualification-p17,score_aware_t2_v2,0.04597222222222223,9855391.0,26.738680000000002
video_workload,video-workload-qualification-p17,distributional_shadow_t2,0.042986111111111114,9868357.5,26.73844
video_workload,video-workload-qualification-p18,str_mlo_nmaxinflights_1,0.009375,3925653.75,26.85892
video_workload,video-workload-qualification-p18,score_aware_t2_v2,0.004861111111111111,4194030.5,26.85976
video_workload,video-workload-qualification-p18,distributional_shadow_t2,0.0036458333333333334,4412670.0,26.8598
video_workload,video-workload-qualification-p19,str_mlo_nmaxinflights_1,0.008611111111111111,3892198.25,26.34484
video_workload,video-workload-qualification-p19,score_aware_t2_v2,0.0044444444444444444,4213265.5,26.3436
video_workload,video-workload-qualification-p19,distributional_shadow_t2,0.004166666666666667,4489400.25,26.34396
video_workload,video-workload-qualification-p20,str_mlo_nmaxinflights_1,0.0077777777777777776,3843270.25,26.45928
video_workload,video-workload-qualification-p20,score_aware_t2_v2,0.004907407407407407,4342764.0,26.45812
video_workload,video-workload-qualification-p20,distributional_shadow_t2,0.007222222222222222,4472715.25,26.4586
video_workload,video-workload-qualification-p21,str_mlo_nmaxinflights_1,0.004861111111111111,3329775.5,26.614800000000002
video_workload,video-workload-qualification-p21,score_aware_t2_v2,0.004027777777777778,3943563.25,26.614
video_workload,video-workload-qualification-p21,distributional_shadow_t2,0.00375,4057511.25,26.61388
video_workload,video-workload-qualification-p22,str_mlo_nmaxinflights_1,0.013703703703703704,5758093.25,26.7964
video_workload,video-workload-qualification-p22,score_aware_t2_v2,0.022314814814814815,6778323.75,26.7948
video_workload,video-workload-qualification-p22,distributional_shadow_t2,0.024444444444444442,6846020.75,26.794719999999998
video_workload,video-workload-qualification-p23,str_mlo_nmaxinflights_1,0.0026041666666666665,1629176.0,26.48776
video_workload,video-workload-qualification-p23,score_aware_t2_v2,0.0024305555555555556,1886886.75,26.4866
video_workload,video-workload-qualification-p23,distributional_shadow_t2,0.0005208333333333333,2004699.75,26.48648
legacy_coexistence,legacy-coexistence-qualification-p16,str_mlo_nmaxinflights_1,0.02847222222222222,5052413.5,26.56676
legacy_coexistence,legacy-coexistence-qualification-p16,score_aware_t2_v2,0.03166666666666667,5283358.0,26.56484
legacy_coexistence,legacy-coexistence-qualification-p16,distributional_shadow_t2,0.02625,5422385.0,26.56472
legacy_coexistence,legacy-coexistence-qualification-p17,str_mlo_nmaxinflights_1,0.3023611111111111,6263381.0,26.90212
legacy_coexistence,legacy-coexistence-qualification-p17,score_aware_t2_v2,0.47388888888888886,7029593.75,26.85932
legacy_coexistence,legacy-coexistence-qualification-p17,distributional_shadow_t2,0.46069444444444446,7276596.0,26.85952
legacy_coexistence,legacy-coexistence-qualification-p18,str_mlo_nmaxinflights_1,0.13083333333333333,5549308.25,26.545160000000003
