family_id,scenario_id,parameter_sample,seed,run,arm_id,run_id,generated_frame_count,completed_frame_count,incomplete_frame_count,deadline_miss_count,all_generated_deadline_miss_rate,completed_frame_hf7_p99_supported,completed_frame_hf7_p99_us,sender_airtime_us,background_throughput_mbps
radio_propagation,radio-propagation-qualification-p18,18,21012,1,str_mlo_nmaxinflights_1,bed82a52ddff2cb9bca4,1800,1800,0,0,0.0,1,9915.589999999998,3286555.0,26.6336
radio_propagation,radio-propagation-qualification-p18,18,21012,1,score_aware_t2_v2,519361bdd2d7dac3b790,1800,1800,0,0,0.0,1,7806.45,3131839.0,26.63056
radio_propagation,radio-propagation-qualification-p18,18,21012,1,distributional_shadow_t2,b6290aa912d4c394f564,1800,1800,0,0,0.0,1,7225.919999999999,3358214.0,26.63296
radio_propagation,radio-propagation-qualification-p19,19,21013,1,str_mlo_nmaxinflights_1,cc0f18488cb86c6f6dc3,1800,1780,20,20,0.011111111111111112,1,22047.460000000003,4847554.0,27.10096
radio_propagation,radio-propagation-qualification-p19,19,21013,1,score_aware_t2_v2,79d6b0777f2f6d57860f,1800,1781,19,19,0.010555555555555556,1,23984.000000000007,5843716.0,27.10048
radio_propagation,radio-propagation-qualification-p19,19,21013,1,distributional_shadow_t2,7caf110cda8d4fa41b38,1800,1786,14,14,0.0077777777777777776,1,23703.300000000014,5971937.0,27.10048
radio_propagation,radio-propagation-qualification-p19,19,21014,1,str_mlo_nmaxinflights_1,0ed99e45f512ce68d142,1800,1786,14,14,0.0077777777777777776,1,20323.650000000078,4123318.0,27.44704
radio_propagation,radio-propagation-qualification-p19,19,21014,1,score_aware_t2_v2,4f314679798c630b2b7f,1800,1789,11,11,0.006111111111111111,1,12772.15999999999,4169848.0,27.44256
radio_propagation,radio-propagation-qualification-p19,19,21014,1,distributional_shadow_t2,112841ffa03f33128999,1800,1792,8,8,0.0044444444444444444,1,12486.33999999999,4484978.0,27.44256
radio_propagation,radio-propagation-qualification-p19,19,21015,1,str_mlo_nmaxinflights_1,837aee4c688e3a290502,1800,1780,20,20,0.011111111111111112,1,20948.040000000008,4420858.0,26.2544
radio_propagation,radio-propagation-qualification-p19,19,21015,1,score_aware_t2_v2,99f7711ecf7e03752bff,1800,1782,18,18,0.01,1,21539.40000000006,5605357.0,26.2528
radio_propagation,radio-propagation-qualification-p19,19,21015,1,distributional_shadow_t2,6ae7fd8ad084a99e9ecb,1800,1783,17,17,0.009444444444444445,1,23440.640000000043,5640557.0,26.25264
