scope,group,comparison,deadline_miss_rate_delta_estimate,deadline_miss_rate_delta_ci95_low,deadline_miss_rate_delta_ci95_high,completed_frame_p99_delta_us_estimate,completed_frame_p99_delta_us_ci95_low,completed_frame_p99_delta_us_ci95_high,deadline_censored_mean_delta_us_estimate,deadline_censored_mean_delta_us_ci95_low,deadline_censored_mean_delta_us_ci95_high,sender_airtime_ratio_estimate,sender_airtime_ratio_ci95_low,sender_airtime_ratio_ci95_high,background_throughput_loss_estimate,background_throughput_loss_ci95_low,background_throughput_loss_ci95_high,measured_secondary_airtime_delta_us_estimate,measured_secondary_airtime_delta_us_ci95_low,measured_secondary_airtime_delta_us_ci95_high
within_profile_bg150,be_be,score_aware_t2_v2_minus_str_mlo,0.02538888888888889,0.003722222222222222,0.04716805555555554,-59.657000000019615,-2571.062949999999,2099.2858499999616,1299.1442222222222,79.27901805555565,2443.2916111111113,1.2471397161808686,1.1379059104793996,1.3405960734034306,5.934955264241815e-06,-0.00012257970347817615,0.00014674300185026898,394004.83999999997,349406.375,423257.209
within_profile_bg150,be_be,distributional_shadow_t2_minus_str_mlo,0.023944444444444445,0.001555555555555557,0.04711111111111111,83.3819999999827,-2859.667975000028,2548.988199999983,1389.7861666666663,83.22601666666637,2664.2295555555556,1.2705521271282585,1.1841930020148979,1.345434861119491,-5.1436278958316706e-06,-0.0001324238865922811,0.0001399163229156952,503075.12,423637.26599999995,588276.1049999999
within_profile_bg150,be_be,distributional_shadow_t2_minus_score_aware_t2_v2,-0.0014444444444444446,-0.005666666666666668,0.002611111111111112,143.03900000000232,-417.64215000001604,508.7367000000218,90.6419444444441,-78.31285972222261,266.6026763888888,1.0187728853821494,1.0021204548414617,1.0412856322048072,-1.107864891114474e-05,-4.495060880323476e-05,1.7035439528148566e-05,109070.28,12241.333000000006,215484.72099999993
within_profile_bg150,af41_vi_be,score_aware_t2_v2_minus_str_mlo,0.0,-0.00016666666666666666,0.00016666666666666666,2262.217999999999,1254.4580250000004,3298.0927499999966,232.01761111111122,105.23450833333345,350.3333291666669,1.1012583092354415,1.057378343538933,1.1410253370874757,1.0682323524191517e-05,-0.00013170080283969596,0.00012587781980685214,402144.92,385695.157,417817.57499999995
within_profile_bg150,af41_vi_be,distributional_shadow_t2_minus_str_mlo,5.555555555555556e-05,-0.00016666666666666666,0.0003333333333333333,2340.440999999999,1329.2585999999994,3340.5059999999994,237.18577777777796,105.93144444444454,359.2015111111113,1.0953597018717711,1.060221329122113,1.126780558106829,3.006876251210322e-05,-0.00010905293453156162,0.00014732726847799246,381721.0,357250.71900000004,406515.94099999993
within_profile_bg150,af41_vi_be,distributional_shadow_t2_minus_score_aware_t2_v2,5.555555555555556e-05,0.0,0.00016666666666666666,78.22299999999969,-93.11260000000009,286.775550000001,5.16816666666673,-3.250123611111075,13.673166666666749,0.994643756769685,0.9870780211680661,1.0032989964493013,1.9386646082475423e-05,3.1800857826752574e-06,3.6781921962214525e-05,-20423.91999999999,-51379.912999999986,12593.302000000009
within_profile_bg150,af41_vi_one_vi_per_channel,score_aware_t2_v2_minus_str_mlo,0.0,-0.00022222222222222223,0.00022222222222222223,1941.851999999999,1026.4505499999982,2822.826824999997,240.72027777777777,118.82802222222223,357.37578749999994,1.1050220685724716,1.0633303202875068,1.1439026641443644,0.00010365654393262869,2.4889612717746147e-05,0.00017952753414585132,400216.08,385923.05199999997,414630.479
within_profile_bg150,af41_vi_one_vi_per_channel,distributional_shadow_t2_minus_str_mlo,0.0,-0.00022222222222222223,0.00022222222222222223,1970.0999999999992,990.9527000000007,2899.832124999999,251.46155555555566,121.78195277777795,372.7740124999999,1.1018102268708407,1.0691302502218742,1.1311921718139337,9.930455163009722e-05,2.0597151579590523e-05,0.00017472094821524564,389343.36,360546.97299999994,417774.052
within_profile_bg150,af41_vi_one_vi_per_channel,distributional_shadow_t2_minus_score_aware_t2_v2,0.0,0.0,0.0,28.24800000000014,-134.28812499999992,214.84699999999992,10.741277777777896,1.341827777777887,21.63569722222239,0.9970934139751796,0.9888485887830073,1.0062036057358963,-4.3524434618635865e-06,-1.933075818492114e-05,8.33581369098224e-06,-10872.719999999996,-44686.865999999995,23841.292999999983
within_profile_bg150,af41_vi_all_vi,score_aware_t2_v2_minus_str_mlo,-0.008833333333333334,-0.011944444444444445,-0.005833333333333334,-2188.123000000005,-4183.088425000018,-344.4456750000232,-316.1325555555555,-662.7764472222221,-38.18953472222204,1.08979906468606,1.0371562899419116,1.1272518713488027,0.07338824124432064,0.02299007158942,0.13279556609468413,378709.68,323488.167,419141.893
