policy_id,family_id,deadline_miss,completed_late18,bounded_on_time_late18
no_secondary_copy,radio_propagation,0.089075896520328379,0.035240291213854857,0.035180650519240998
no_secondary_copy,obss_intensity,0.40188678613591416,0.052580135001916162,0.05237046360850553
no_secondary_copy,obss_geometry_mac,0.027518837314073671,0.041589228138430773,0.041509513842411118
no_secondary_copy,video_workload,0.028637209361428467,0.017803342580174811,0.017747012248166133
no_secondary_copy,legacy_coexistence,0.4376866084468195,0.083699606867146323,0.083527298211150985
no_secondary_copy,compound_shift,0.57890025662868971,0.057958490397461808,0.058121797540546159
uniform_random_t2_same_canonical_budget,radio_propagation,0.076043803946347466,0.032425532443436496,0.032425349947617366
uniform_random_t2_same_canonical_budget,obss_intensity,0.34400926777945529,0.056425075611365678,0.053900566184153564
uniform_random_t2_same_canonical_budget,obss_geometry_mac,0.02324253361422797,0.035463730526053963,0.035380761614134289
uniform_random_t2_same_canonical_budget,video_workload,0.021947121860132757,0.012845069865315618,0.012735633902673588
uniform_random_t2_same_canonical_budget,legacy_coexistence,0.36048510023650332,0.085642345024031286,0.08639660707807223
uniform_random_t2_same_canonical_budget,compound_shift,0.48199996286211094,0.069816219595219359,0.068099215491781093
myopic_deadline_risk_same_canonical_budget,radio_propagation,0.061306038403665643,0.020406824170155616,0.020480034358569644
myopic_deadline_risk_same_canonical_budget,obss_intensity,0.31874434466981177,0.056879059608717836,0.054354903879515581
myopic_deadline_risk_same_canonical_budget,obss_geometry_mac,0.0080649551000553602,0.020357009889890844,0.020181045302668392
myopic_deadline_risk_same_canonical_budget,video_workload,0.0062776995717885309,0.0052784059877792576,0.00523384613455527
myopic_deadline_risk_same_canonical_budget,legacy_coexistence,0.31783731457166275,0.090863126558968083,0.092235217951834522
myopic_deadline_risk_same_canonical_budget,compound_shift,0.44816905266326817,0.067767079570994274,0.065798560857757288
cross_fitted_scenario_resource_oracle_v1,radio_propagation,0.061037973995937495,0.020636011283185953,0.020729348197349801
cross_fitted_scenario_resource_oracle_v1,obss_intensity,0.31120321518060962,0.05576067788923942,0.053256499775143934
cross_fitted_scenario_resource_oracle_v1,obss_geometry_mac,0.0080973313254213402,0.020315434833391596,0.020098824640681422
cross_fitted_scenario_resource_oracle_v1,video_workload,0.0066913510316021253,0.0054852715788016714,0.0054208209777430495
cross_fitted_scenario_resource_oracle_v1,legacy_coexistence,0.30611590144025091,0.081829101057467157,0.083108062570960789
cross_fitted_scenario_resource_oracle_v1,compound_shift,0.4348118125071555,0.065690687038162346,0.063601400338922032
