analysis,bin,calibration_error,count,degradation_profile,effective_bin_count,feature_set,link,mean_probability,model,observed_miss_rate,partition,pipeline_type,probability_max,probability_min,requested_bin_count,sample_offset_us,scenario_id,stage
per_link,0,0.06372716096843546,35512,,10,,0,0.11028600744109224,retry_pressure,0.04666028384771345,in_distribution_test,heuristic,0.11028600744109222,0.11028600744109222,10,0,,T0
per_link,1,0.06372716096843546,1,,10,,0,0.11859444572971581,retry_pressure,0.0,in_distribution_test,heuristic,0.11859444572971581,0.11859444572971581,10,0,,T0
per_link,2,0.06372716096843546,1,,10,,0,0.123581527894138,retry_pressure,0.0,in_distribution_test,heuristic,0.123581527894138,0.123581527894138,10,0,,T0
per_link,3,0.06372716096843546,3,,10,,0,0.12927430550823604,retry_pressure,0.0,in_distribution_test,heuristic,0.12927430550823604,0.12927430550823604,10,0,,T0
per_link,4,0.06372716096843546,2,,10,,0,0.13243119464441686,retry_pressure,0.0,in_distribution_test,heuristic,0.13243119464441686,0.13243119464441686,10,0,,T0
per_link,5,0.06372716096843546,10,,10,,0,0.13823086260918588,retry_pressure,0.4,in_distribution_test,heuristic,0.13823086260918588,0.13823086260918588,10,0,,T0
per_link,6,0.06372716096843546,1,,10,,0,0.14133011738927884,retry_pressure,0.0,in_distribution_test,heuristic,0.14133011738927884,0.14133011738927884,10,0,,T0
per_link,7,0.06372716096843546,4,,10,,0,0.1434283844197147,retry_pressure,0.0,in_distribution_test,heuristic,0.1434283844197147,0.1434283844197147,10,0,,T0
per_link,8,0.06372716096843546,40,,10,,0,0.1629089162685728,retry_pressure,0.1,in_distribution_test,heuristic,0.1629089162685728,0.1629089162685728,10,0,,T0
per_link,9,0.06372716096843546,426,,10,,0,0.23229376914660127,retry_pressure,0.16666666666666666,in_distribution_test,heuristic,0.23403598957549418,0.17188855350266832,10,0,,T0
per_link,0,0.09918196124097006,42729,,10,,0,0.11028600744109225,retry_pressure,0.0101804395141473,ood:obss_only,heuristic,0.11028600744109222,0.11028600744109222,10,0,obss_only,T0
per_link,1,0.09918196124097006,1,,10,,0,0.11810543553750383,retry_pressure,1.0,ood:obss_only,heuristic,0.11810543553750383,0.11810543553750383,10,0,obss_only,T0
per_link,2,0.09918196124097006,1,,10,,0,0.12113920222904186,retry_pressure,0.0,ood:obss_only,heuristic,0.12113920222904186,0.12113920222904186,10,0,obss_only,T0
per_link,3,0.09918196124097006,1,,10,,0,0.123581527894138,retry_pressure,0.0,ood:obss_only,heuristic,0.123581527894138,0.123581527894138,10,0,obss_only,T0
per_link,4,0.09918196124097006,3,,10,,0,0.12592688816979256,retry_pressure,0.0,ood:obss_only,heuristic,0.12592688816979256,0.12592688816979256,10,0,obss_only,T0
per_link,5,0.09918196124097006,3,,10,,0,0.13823086260918588,retry_pressure,0.6666666666666666,ood:obss_only,heuristic,0.13823086260918588,0.13823086260918588,10,0,obss_only,T0
per_link,6,0.09918196124097006,2,,10,,0,0.1629089162685728,retry_pressure,1.0,ood:obss_only,heuristic,0.1629089162685728,0.1629089162685728,10,0,obss_only,T0
per_link,7,0.09918196124097006,1,,10,,0,0.16585939785963213,retry_pressure,0.0,ood:obss_only,heuristic,0.16585939785963213,0.16585939785963213,10,0,obss_only,T0
per_link,8,0.09918196124097006,1,,10,,0,0.18125597103083732,retry_pressure,0.0,ood:obss_only,heuristic,0.18125597103083732,0.18125597103083732,10,0,obss_only,T0
per_link,9,0.09918196124097006,458,,10,,0,0.2339277571001203,retry_pressure,0.2292576419213974,ood:obss_only,heuristic,0.23403598957549418,0.1844655158542687,10,0,obss_only,T0
per_link,0,0.029820019254014347,40110,,10,,0,0.11028600744109224,retry_pressure,0.12286212914485166,ood:obss_plus_legacy_mixed8,heuristic,0.11028600744109222,0.11028600744109222,10,0,obss_plus_legacy_mixed8,T0
per_link,1,0.029820019254014347,2,,10,,0,0.11284075537669964,retry_pressure,1.0,ood:obss_plus_legacy_mixed8,heuristic,0.11284075537669964,0.11284075537669964,10,0,obss_plus_legacy_mixed8,T0
per_link,2,0.029820019254014347,1,,10,,0,0.1129166713079174,retry_pressure,1.0,ood:obss_plus_legacy_mixed8,heuristic,0.1129166713079174,0.1129166713079174,10,0,obss_plus_legacy_mixed8,T0
per_link,3,0.029820019254014347,1,,10,,0,0.11317413707184518,retry_pressure,1.0,ood:obss_plus_legacy_mixed8,heuristic,0.11317413707184518,0.11317413707184518,10,0,obss_plus_legacy_mixed8,T0
per_link,4,0.029820019254014347,2,,10,,0,0.11457249022617401,retry_pressure,0.5,ood:obss_plus_legacy_mixed8,heuristic,0.11457249022617401,0.11457249022617401,10,0,obss_plus_legacy_mixed8,T0
per_link,5,0.029820019254014347,4,,10,,0,0.11544700435492507,retry_pressure,1.0,ood:obss_plus_legacy_mixed8,heuristic,0.11544700435492507,0.11544700435492507,10,0,obss_plus_legacy_mixed8,T0
per_link,6,0.029820019254014347,1,,10,,0,0.11676965509774542,retry_pressure,1.0,ood:obss_plus_legacy_mixed8,heuristic,0.11676965509774542,0.11676965509774542,10,0,obss_plus_legacy_mixed8,T0
