absolute_action_rate_deviation,analysis,budget,calibration_miss_recall_at_threshold,calibration_precision_at_threshold,calibration_score_threshold,calibration_threshold_mode,degradation_profile,eligible_frames,eligible_misses,expected_topk_true_positives,feature_set,k,link,model,observed_calibration_action_rate,observed_test_action_rate,partition,pipeline_type,precision,recall,sample_offset_us,scenario_id,source_link,stage,status,subgroup_dimension,subgroup_value,target_budget,test_miss_recall_at_calibration_threshold,test_precision_at_calibration_threshold,tie_precision_lower,tie_precision_upper,tie_recall_lower,tie_recall_upper,topk_cutoff_score,topk_strict_count,topk_tie_count,topk_tie_slots
0.026111111111111113,per_link,0.05,0.04970472440944882,0.23488372093023255,0.12592688816979256,numeric,,36000,1736,140.21829240820006,,1800,0,retry_pressure,0.02388888888888889,0.0135,in_distribution_test,heuristic,0.07789905133788892,0.0807709057650922,0,,,T0,ok,,,0.05,0.04550691244239631,0.16255144032921812,0.07,0.08611111111111111,0.07258064516129033,0.08928571428571429,0.0,488,35512,1312
0.07611111111111112,per_link,0.1,0.04970472440944882,0.23488372093023255,0.12592688816979256,numeric,,36000,1736,224.20680333408424,,3600,0,retry_pressure,0.02388888888888889,0.0135,in_distribution_test,heuristic,0.06227966759280118,0.1291513844090347,0,,,T0,ok,,,0.1,0.04550691244239631,0.16255144032921812,0.05638888888888889,0.06861111111111111,0.11693548387096774,0.14228110599078342,0.0,488,35512,3112
0.1761111111111111,per_link,0.2,0.04970472440944882,0.23488372093023255,0.12592688816979256,numeric,,36000,1736,392.1838251858527,,7200,0,retry_pressure,0.02388888888888889,0.0135,in_distribution_test,heuristic,0.054469975720257316,0.22591234169691976,0,,,T0,ok,,,0.2,0.04550691244239631,0.16255144032921812,0.050277777777777775,0.05875,0.20852534562211983,0.2436635944700461,0.0,488,35512,6712
0.026111111111111113,per_link,0.05,0.04970472440944882,0.23488372093023255,0.12592688816979256,numeric,,43200,545,127.1947623393948,,2160,0,retry_pressure,0.02388888888888889,0.010833333333333334,ood:obss_only,heuristic,0.058886464046016114,0.23338488502641247,0,obss_only,,T0,ok,,,0.05,0.2,0.2329059829059829,0.05555555555555555,0.06296296296296296,0.22018348623853212,0.24954128440366974,0.0,471,42729,1689
0.07611111111111112,per_link,0.1,0.04970472440944882,0.23488372093023255,0.12592688816979256,numeric,,43200,545,149.18451168995296,,4320,0,retry_pressure,0.02388888888888889,0.010833333333333334,ood:obss_only,heuristic,0.0345334517800817,0.27373304897239076,0,obss_only,,T0,ok,,,0.1,0.2,0.2329059829059829,0.03194444444444444,0.03726851851851852,0.25321100917431194,0.29541284403669726,0.0,471,42729,3849
0.1761111111111111,per_link,0.2,0.04970472440944882,0.23488372093023255,0.12592688816979256,numeric,,43200,545,193.1640103910693,,8640,0,retry_pressure,0.02388888888888889,0.010833333333333334,ood:obss_only,heuristic,0.0223569456471145,0.35442937686434733,0,obss_only,,T0,ok,,,0.2,0.2,0.2329059829059829,0.02048611111111111,0.024189814814814813,0.3247706422018349,0.3834862385321101,0.0,471,42729,8169
0.026111111111111113,per_link,0.05,0.04970472440944882,0.23488372093023255,0.12592688816979256,numeric,,43200,6419,1020.0620475698036,,2160,0,retry_pressure,0.02388888888888889,0.07046296296296296,ood:obss_plus_legacy_mixed8,heuristic,0.47225094794898315,0.15891292219501535,0,obss_plus_legacy_mixed8,,T0,ok,,,0.05,0.2268266085059978,0.4783180026281209,0.4615740740740741,0.4828703703703704,0.15532014332450536,0.1624863685932388,1.0,0,2901,2160
0.07611111111111112,per_link,0.1,0.04970472440944882,0.23488372093023255,0.12592688816979256,numeric,,43200,6419,1642.1204188481674,,4320,0,retry_pressure,0.02388888888888889,0.07046296296296296,ood:obss_plus_legacy_mixed8,heuristic,0.38012046732596466,0.25582184434462807,0,obss_plus_legacy_mixed8,,T0,ok,,,0.1,0.2268266085059978,0.4783180026281209,0.375,0.3854166666666667,0.25237575946409097,0.2593861972269824,0.0,3090,40110,1230
0.1761111111111111,per_link,0.2,0.04970472440944882,0.23488372093023255,0.12592688816979256,numeric,,43200,6419,2172.8848167539268,,8640,0,retry_pressure,0.02388888888888889,0.07046296296296296,ood:obss_plus_legacy_mixed8,heuristic,0.25149129823540817,0.33850830608411386,0,obss_plus_legacy_mixed8,,T0,ok,,,0.2,0.2268266085059978,0.4783180026281209,0.24641203703703704,0.256712962962963,0.331671599937685,0.3455366879576258,0.0,3090,40110,5550
0.05,per_link,0.05,0.0,,,no_action,,36000,1736,704.0,,1800,0,delivery_drought,0.0,0.0,in_distribution_test,heuristic,0.39111111111111113,0.4055299539170507,0,,,T0,ok,,,0.05,0.0,,0.39111111111111113,0.39111111111111113,0.4055299539170507,0.4055299539170507,0.9496405720710754,1795,94,5
0.1,per_link,0.1,0.0,,,no_action,,36000,1736,721.0,,3600,0,delivery_drought,0.0,0.0,in_distribution_test,heuristic,0.20027777777777778,0.4153225806451613,0,,,T0,ok,,,0.1,0.0,,0.20027777777777778,0.20027777777777778,0.4153225806451613,0.4153225806451613,0.9496117234230042,3598,3,2
0.2,per_link,0.2,0.0,,,no_action,,36000,1736,757.3816793893129,,7200,0,delivery_drought,0.0,0.0,in_distribution_test,heuristic,0.10519189991518235,0.43627976923347517,0,,,T0,ok,,,0.2,0.0,,0.10513888888888889,0.10541666666666667,0.43605990783410137,0.4372119815668203,0.9495524764060974,7175,131,25
0.05,per_link,0.05,0.0,,,no_action,,43200,545,73.0,,2160,0,delivery_drought,0.0,0.0,ood:obss_only,heuristic,0.033796296296296297,0.13394495412844037,0,obss_only,,T0,ok,,,0.05,0.0,,0.033796296296296297,0.033796296296296297,0.13394495412844037,0.13394495412844037,0.9496073722839355,2159,3,1
0.1,per_link,0.1,0.0,,,no_action,,43200,545,78.0,,4320,0,delivery_drought,0.0,0.0,ood:obss_only,heuristic,0.018055555555555554,0.14311926605504588,0,obss_only,,T0,ok,,,0.1,0.0,,0.018055555555555554,0.018055555555555554,0.14311926605504588,0.14311926605504588,0.9495681524276733,4315,7,5
0.2,per_link,0.2,0.0,,,no_action,,43200,545,88.0,,8640,0,delivery_drought,0.0,0.0,ood:obss_only,heuristic,0.010185185185185186,0.1614678899082569,0,obss_only,,T0,ok,,,0.2,0.0,,0.010185185185185186,0.010185185185185186,0.1614678899082569,0.1614678899082569,0.949489176273346,8634,6,6
0.05,per_link,0.05,0.0,,,no_action,,43200,6419,1615.0,,2160,0,delivery_drought,0.0,0.0,ood:obss_plus_legacy_mixed8,heuristic,0.7476851851851852,0.2515968219348808,0,obss_plus_legacy_mixed8,,T0,ok,,,0.05,0.0,,0.7476851851851852,0.7476851851851852,0.2515968219348808,0.2515968219348808,1.5663889646530151,2159,1,1
