evidence_partition,f2_exportable,feature,feature_set,link,manifest_tier,model,permutation_importance_mean,permutation_importance_std,stage
validation_selection,False,mpdu_queue_drops_total,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0013638444975728008,0.0004036800330629855,T0
validation_selection,False,mpdu_queue_to_ack_mean_1ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_queue_to_ack_mean_20ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,6.19451875876198e-05,7.374532359332929e-06,T0
validation_selection,False,mpdu_queue_to_ack_mean_5ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,9.972618001896638e-05,0.0,T0
validation_selection,False,mpdu_queue_to_ack_p95_1ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_queue_to_ack_p95_20ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,6.929801449784279e-05,3.337416238395622e-05,T0
validation_selection,False,mpdu_queue_to_ack_p95_5ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_retries_1ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_retries_20ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0006592667539865316,0.0006248768288935609,T0
validation_selection,False,mpdu_retries_5ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,1.4190974650940547e-06,2.006906881465292e-06,T0
validation_selection,False,mpdu_retries_total,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.02408338838815986,0.004150172853217834,T0
validation_selection,False,mpdu_retry_limit_drops_total,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_retry_ratio_1ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_retry_ratio_20ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.000253979239197788,6.171943816908288e-05,T0
validation_selection,False,mpdu_retry_ratio_5ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_terminal_drops_total,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0001063371549780608,4.003906853068316e-05,T0
validation_selection,False,mpdu_tx_attempt_failures_total,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0013419770930023962,0.0007703080233794243,T0
validation_selection,False,mpdu_tx_attempts_total,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.005437645013928627,0.0017473033966970176,T0
validation_selection,False,phy_busy_fraction_1ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0011298484636431683,0.0009031166835813936,T0
validation_selection,False,phy_busy_fraction_20ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.06912387449936834,0.008878741465270996,T0
validation_selection,False,phy_busy_fraction_5ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.01271549640095341,0.0003345974141039066,T0
validation_selection,False,phy_busy_time_1ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_busy_time_20ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_busy_time_5ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_idle_fraction_1ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0352746741600388,0.003839770437089115,T0
validation_selection,False,phy_idle_fraction_20ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.04838690660585643,0.006688780585692822,T0
validation_selection,False,phy_idle_fraction_5ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.077115749459208,0.007929042946464224,T0
validation_selection,False,phy_idle_time_1ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_idle_time_20ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_idle_time_5ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_other_fraction_1ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_other_fraction_20ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_other_fraction_5ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_other_time_1ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_other_time_20ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_other_time_5ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_rx_fraction_1ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0019605558868303063,0.0005717637384957643,T0
validation_selection,False,phy_rx_fraction_20ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0020735799521841938,0.00027452498613436937,T0
validation_selection,False,phy_rx_fraction_5ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0005602951407759349,0.0011001875687109259,T0
validation_selection,False,phy_rx_time_1ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_rx_time_20ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_rx_time_5ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_tx_fraction_1ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0008476141130909406,0.00030250559791123854,T0
validation_selection,False,phy_tx_fraction_20ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0001357659078798553,4.564438998865126e-06,T0
validation_selection,False,phy_tx_fraction_5ms,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,-0.0002961508665110246,0.00024725684354253466,T0
validation_selection,False,phy_tx_time_1ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_tx_time_20ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,phy_tx_time_5ms_us,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,ppdu_tx_count_total,F0+F1-ideal+F2,0,F1-ideal,histogram_gradient_boosting,0.015783838585437155,0.005614468964363204,T0
validation_selection,True,frame_mac_service_bytes_currently_queued,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,frame_mac_service_bytes_not_acknowledged,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,frame_mac_service_bytes_pending_primary,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,frame_mpdu_attempt_failures,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,frame_packets_currently_queued,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,frame_packets_mac_dequeued,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,frame_packets_mac_enqueued,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,frame_packets_not_acknowledged,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,frame_packets_pending_primary,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,frame_packets_terminally_dropped,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,frame_packets_tx_succeeded,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,mac_queue_packets,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.15583410449507437,0.011011868211280449,T0
validation_selection,True,mac_queue_service_bytes,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,mac_service_bytes_ahead_of_frame,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,True,packets_ahead_of_frame,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,queue_oldest_age_us,F0+F1-ideal+F2,0,F2,histogram_gradient_boosting,0.0008986582839564846,0.0010550677289396032,T0
validation_selection,False,application_socket_packet_bytes_submitted,F0+F1-ideal+F2,1,F0,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,deadline_slack_us,F0+F1-ideal+F2,1,F0,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,frame_age_us,F0+F1-ideal+F2,1,F0,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,frame_packet_count,F0+F1-ideal+F2,1,F0,histogram_gradient_boosting,0.0028077608927071043,0.0008892840092416126,T0
validation_selection,False,frame_size_bytes,F0+F1-ideal+F2,1,F0,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,frame_type,F0+F1-ideal+F2,1,F0,histogram_gradient_boosting,0.00012387367164209037,8.61222404791845e-06,T0
validation_selection,False,packets_remaining_to_submit,F0+F1-ideal+F2,1,F0,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,packets_submitted,F0+F1-ideal+F2,1,F0,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,acknowledged_mac_service_bytes_1ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,-2.1718580806462384e-05,3.071471153199509e-05,T0
validation_selection,False,acknowledged_mac_service_bytes_20ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.00015847031296963485,0.00017443452244982828,T0
validation_selection,False,acknowledged_mac_service_bytes_5ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,2.001072844171059e-05,0.0,T0
validation_selection,False,center_frequency_mhz,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,current_ack_signal_dbm,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,current_channel_width_mhz,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,1.754923622809823e-05,5.124098845343936e-06,T0
