scope,group,comparison,deadline_miss_rate_delta_estimate,deadline_miss_rate_delta_ci95_low,deadline_miss_rate_delta_ci95_high,completed_frame_p99_delta_us_estimate,completed_frame_p99_delta_us_ci95_low,completed_frame_p99_delta_us_ci95_high,deadline_censored_mean_delta_us_estimate,deadline_censored_mean_delta_us_ci95_low,deadline_censored_mean_delta_us_ci95_high,sender_airtime_ratio_estimate,sender_airtime_ratio_ci95_low,sender_airtime_ratio_ci95_high,background_throughput_loss_estimate,background_throughput_loss_ci95_low,background_throughput_loss_ci95_high,measured_secondary_airtime_delta_us_estimate,measured_secondary_airtime_delta_us_ci95_low,measured_secondary_airtime_delta_us_ci95_high
within_profile,be_be,score_aware_t2_v2_minus_str_mlo,-0.0010555555555555557,-0.0025,0.0004999999999999998,-1785.4389999999858,-4123.2556249999725,173.950650000011,88.11277777777775,-276.0269513888889,404.2199930555553,1.1442934318702656,1.0525036792235294,1.2209224650280797,0.0001144586968042649,5.889237040285489e-05,0.00017688434379648784,249881.88,156686.227,337008.01
within_profile,be_be,distributional_shadow_t2_minus_str_mlo,-0.0011666666666666665,-0.003111111111111111,0.001,-2231.2530000000006,-4615.947100000011,-117.30152499997556,61.986333333333505,-331.2257708333332,434.950811111111,1.1803709702075547,1.1171627629138747,1.2329253535684064,0.00010193977684136435,5.4591704111150996e-05,0.00014890431940508265,398850.68,353665.338,447931.464
within_profile,be_be,distributional_shadow_t2_minus_score_aware_t2_v2,-0.00011111111111111104,-0.0010555555555555557,0.0009444444444444446,-445.814000000015,-1448.1671750000223,610.0293999999842,-26.126444444444246,-107.00620833333319,72.78030555555564,1.0315282228600429,1.0097499673800205,1.0617658343634913,-1.2520353026124198e-05,-3.530880241529033e-05,9.532372489426398e-06,148968.8,51273.97099999998,256467.706
within_profile,af41_vi_be,score_aware_t2_v2_minus_str_mlo,0.0,0.0,0.0,2525.812,1872.6677250000005,3223.678,138.99044444444445,46.81083333333336,223.41619583333335,1.041915433172601,0.9930034206029322,1.0850036653796304,1.4307661216017564e-05,-4.171560525010887e-05,7.692468725448985e-05,227740.4,167319.849,284008.86
within_profile,af41_vi_be,distributional_shadow_t2_minus_str_mlo,0.0,0.0,0.0,2517.2630000000004,1866.4839750000006,3210.891525,137.85544444444434,44.824340277777615,223.1974041666666,1.0753888447322446,1.040227239653557,1.1055956351704033,6.5576780573506355e-06,-4.6623461107259116e-05,6.167186276461177e-05,339400.83999999997,302813.17699999997,370834.985
within_profile,af41_vi_be,distributional_shadow_t2_minus_score_aware_t2_v2,0.0,0.0,0.0,-8.548999999999705,-21.387549999999624,3.4070000000006986,-1.1350000000001046,-2.745733333333454,0.38572916666652635,1.0321268027076997,1.0173475390029654,1.049096838419286,-7.750094044522982e-06,-3.085211310099867e-05,1.0735218784996279e-05,111660.43999999999,63522.73499999999,161494.6439999999
within_profile,af41_vi_one_vi_per_channel,score_aware_t2_v2_minus_str_mlo,0.0,0.0,0.0,2304.3459999999995,1778.5664499999993,2814.4759999999997,139.13211111111124,41.81572222222244,227.8004333333334,1.044824020363319,0.995730484520595,1.088172731652665,6.080375409522887e-05,-5.9424939407026756e-06,0.00013056941638764637,241493.08000000002,182157.706,295079.422
within_profile,af41_vi_one_vi_per_channel,distributional_shadow_t2_minus_str_mlo,0.0,0.0,0.0,2236.5499999999993,1724.122275,2749.127624999999,137.50850000000005,40.05644444444456,226.76662638888885,1.074989758766718,1.0390265849611615,1.105426065429616,5.782317791414027e-05,-2.973112343029882e-06,0.00011942051870356405,342547.48,310781.948,370982.11499999993
within_profile,af41_vi_one_vi_per_channel,distributional_shadow_t2_minus_score_aware_t2_v2,0.0,0.0,0.0,-67.79600000000028,-177.4382250000013,-1.2936249999998148,-1.6236111111111995,-3.368487500000148,-0.015369444444548037,1.0288715973364677,1.0143351943866579,1.0450001382572693,-2.9807574222218136e-06,-2.1593557553278853e-05,1.5439588771601344e-05,101054.4,53073.264999999985,148159.25099999996
within_profile,af41_vi_all_vi,score_aware_t2_v2_minus_str_mlo,-0.0016111111111111111,-0.0025555555555555557,-0.0007777777777777778,-156.32299999999086,-1259.08257499999,1011.8520000000059,0.6260555555555584,-119.83255277777776,114.0740263888889,1.0896240395689825,1.055442254164895,1.1191437949093317,-0.007701177372058554,-0.02750314873990683,0.007800415747836534,342129.24,299159.43299999996,374775.66500000004
