topology,policy,run_count,deadline_miss_ratio_n,deadline_miss_ratio_mean,deadline_miss_ratio_ci95_low,deadline_miss_ratio_ci95_high,incomplete_ratio_n,incomplete_ratio_mean,incomplete_ratio_ci95_low,incomplete_ratio_ci95_high,latency_p99_us_n,latency_p99_us_mean,latency_p99_us_ci95_low,latency_p99_us_ci95_high,redundant_byte_ratio_n,redundant_byte_ratio_mean,redundant_byte_ratio_ci95_low,redundant_byte_ratio_ci95_high,duplicate_recovery_rate_n,duplicate_recovery_rate_mean,duplicate_recovery_rate_ci95_low,duplicate_recovery_rate_ci95_high,duplicate_no_benefit_ratio_n,duplicate_no_benefit_ratio_mean,duplicate_no_benefit_ratio_ci95_low,duplicate_no_benefit_ratio_ci95_high,background_throughput_mbps_n,background_throughput_mbps_mean,background_throughput_mbps_ci95_low,background_throughput_mbps_ci95_high,max_deadline_miss_burst_n,max_deadline_miss_burst_mean,max_deadline_miss_burst_ci95_low,max_deadline_miss_burst_ci95_high,p95_deadline_miss_burst_n,p95_deadline_miss_burst_mean,p95_deadline_miss_burst_ci95_low,p95_deadline_miss_burst_ci95_high,joint_copy_deadline_exceedance_rate_n,joint_copy_deadline_exceedance_rate_mean,joint_copy_deadline_exceedance_rate_ci95_low,joint_copy_deadline_exceedance_rate_ci95_high,cross_copy_delay_correlation_n,cross_copy_delay_correlation_mean,cross_copy_delay_correlation_ci95_low,cross_copy_delay_correlation_ci95_high
dual_interface,fixed_link_1,7,7,0.11428571428578571,0.06863386388239642,0.159937564689175,7,0.11428571428578571,0.06863386388239642,0.159937564689175,7,30432.422375714286,29569.350217069652,31295.49453435892,7,0.0,0.0,0.0,0,,,,0,,,,7,42.580662857142855,42.07801703426269,43.083308680023016,7,12.714285714285714,7.045189815809269,18.383381612762157,7,5.71428571428571,4.799982105076535,6.628589323494885,0,,,,0,,,
dual_interface,full_duplication,7,7,0.023253968253972856,0.008789397316093397,0.037718539191852314,7,0.023253968253972856,0.008789397316093397,0.037718539191852314,7,25415.13756142857,22703.856271713277,28126.418851143866,7,0.5,0.5,0.5,7,0.41873015873028574,0.33683308567505454,0.5006272317855169,7,0.558015873016,0.4814588203865326,0.6345729256454673,7,42.575657142857146,42.06944304828751,43.08187123742678,7,4.428571428571429,2.1720975599596315,6.685045297183226,7,3.2785714285714276,1.6061299884010052,4.95101286874185,7,0.023253968253968253,0.008789397316084697,0.03771853919185181,7,0.006595625364993637,-0.005762546809481503,0.018953797539468777
dual_interface,selective_duplication,7,7,0.06269841269848571,0.037426203847052225,0.08797062154991919,7,0.06269841269848571,0.037426203847052225,0.08797062154991919,7,29266.68658,28341.836814374805,30191.536345625198,7,0.13619334775602857,0.102430737057504,0.16995595845455314,7,0.6945013309507143,0.6095084045266052,0.7794942573748235,7,0.2343898241,0.1805332427325503,0.2882464054674497,7,42.580754285714285,42.07888002609167,43.0826285453369,7,4.571428571428571,2.656747002549798,6.4861101403073445,7,2.2142857142857144,1.6899285714285717,2.738642857142857,7,0.07110884494945148,0.02667638571873094,0.11554130418017203,7,0.17883563017642048,0.13147725119617204,0.22619400915666893
mlo_str,fixed_link_0,7,7,0.08023809523808571,0.04196745219240802,0.1185087382837634,7,0.08023809523808571,0.04196745219240802,0.1185087382837634,7,29134.572317142858,28021.33499701456,30247.809637271155,7,0.0,0.0,0.0,0,,,,0,,,,7,42.481005714285715,42.02293851891975,42.93907290965168,7,9.571428571428571,6.285953026271808,12.856904116585333,7,4.278571428571428,3.6063845653163855,4.950758291826469,0,,,,0,,,
