seed,run,policy_run_id,str_run_id,policy_deadline_miss_rate,str_deadline_miss_rate,miss_delta_percentage_points,policy_completed_p99_us,str_completed_p99_us,completed_p99_delta_us,policy_sender_airtime_us,str_sender_airtime_us,sender_airtime_ratio,policy_background_throughput_mbps,str_background_throughput_mbps,background_throughput_loss
1251,1,57f0140379defe0a1db3,10d57394824df38fb66d,0.010555555555555556,0.012777777777777779,-0.22222222222222227,20735.600000000035,23461.440000000002,-2725.8399999999674,5781207.0,4685060.0,1.2339664806854127,26.85584,26.85488,-3.5747692784360297e-05
1252,1,9bef9a1ba82ead5d77cc,024ad3d606339f83f0f9,0.0,0.0038888888888888888,-0.3888888888888889,10852.359999999999,18030.919999999976,-7178.559999999978,3578313.0,3932512.0,0.9099305990674663,26.98,26.98848,0.0003142081362121907
1253,1,115f701824bb9449c713,6270d47b1a914389b7fb,0.011111111111111112,0.008888888888888889,0.22222222222222227,22911.310000000016,21507.220000000005,1404.090000000011,5834030.0,4527754.0,1.288504189936114,26.10688,26.10992,0.00011643084314305607
1254,1,a8615f75ef0cc8729247,be7dbcaffc6978e439e7,0.0005555555555555556,0.0,0.05555555555555555,12217.399999999992,11779.679999999998,437.7199999999939,3763750.0,3592350.0,1.0477125001739809,27.50688,27.50736,1.7449875233332968e-05
1255,1,4be00dba53df4c26b3e2,dc71b9f9342b5276d062,0.006111111111111111,0.009444444444444445,-0.3333333333333333,20513.879999999994,20053.280000000017,460.5999999999767,5360490.0,4752600.0,1.127906829945714,26.57968,26.58032,2.4077964448920852e-05
1256,1,7d55ffcb4c3907ee2c4c,db1a1fe7e4ec48bc8926,0.0016666666666666668,0.0038888888888888888,-0.22222222222222218,13459.799999999996,10860.319999999956,2599.4800000000396,3950956.0,3461491.0,1.1414029387914053,27.30992,27.31248,9.373004575197186e-05
1257,1,138552c9df8c1f9793f6,36009d3af6a1a83b29c6,0.006111111111111111,0.01,-0.3888888888888889,19229.759999999995,20831.74000000002,-1601.980000000025,5251359.0,4183718.0,1.255189522812006,26.73584,26.73936,0.00013164114623542833
1258,1,3b44950a522631d917e9,eefc4b23a5c280351488,0.0077777777777777776,0.006111111111111111,0.1666666666666666,19815.40000000005,22039.96,-2224.5599999999504,5339049.0,4472875.0,1.1936503926445519,27.11296,27.11536,8.851071864790505e-05
1259,1,a2e50904742e7627485e,ce136c25abbb0c6cc746,0.0,0.0044444444444444444,-0.4444444444444444,8265.099999999999,17668.38999999997,-9403.289999999972,3156474.0,3616063.0,0.8729034864713364,26.86048,26.86592,0.00020248701700886773
1260,1,b34233f2e6ba6976b7d3,9b2ce4f3e51a876cc05f,0.0077777777777777776,0.005,0.27777777777777773,21894.550000000017,23287.699999999997,-1393.1499999999796,5735777.0,4458493.0,1.2864833476244104,26.31696,26.31968,0.00010334472151640739
