seed,run,policy_run_id,str_run_id,policy_deadline_miss_rate,str_deadline_miss_rate,miss_delta_percentage_points,policy_completed_p99_us,str_completed_p99_us,completed_p99_delta_us,policy_sender_airtime_us,str_sender_airtime_us,sender_airtime_ratio,policy_background_throughput_mbps,str_background_throughput_mbps,background_throughput_loss
1201,1,5f1c0ab978c55ddfa491,30ae7bcf58fdddddded5,0.0005555555555555556,0.0,0.05555555555555555,8409.4,9622.929999999997,-1213.529999999997,3143028.0,3229769.0,0.9731432805256351,26.2768,26.27648,-1.2178191295175722e-05
1202,1,397ea92af9209f53da89,34a963b81785069eea4a,0.014444444444444444,0.008333333333333333,0.611111111111111,23960.27,21866.48000000002,2093.789999999979,5581780.0,4575040.0,1.220050535077289,25.91584,25.9152,-2.4695931345242172e-05
1203,1,34012a2b86799e2b01f6,6dc9920943212581b15b,0.0,0.002777777777777778,-0.2777777777777778,9767.41,17518.919999999955,-7751.509999999955,3364153.0,3745550.0,0.898173298981458,25.63872,25.63872,0.0
1204,1,8be57cd1ec827bbe583b,4bdfed507ded682815ed,0.024444444444444446,0.013888888888888888,1.0555555555555558,24201.300000000017,24279.42,-78.11999999998079,6329782.0,4747926.0,1.333167787366526,27.45008,27.45088,2.9142963722916804e-05
1205,1,519d4f85e6123ef735dc,c4bdfc5b6a3f19a1e579,0.005,0.0044444444444444444,0.055555555555555566,16805.09999999999,17371.659999999953,-566.5599999999613,4988563.0,4187156.0,1.191396499198979,26.22208,26.22128,-3.0509570852377266e-05
1206,1,499646fc595c0338e958,8afe627682a0a4a71b5b,0.017777777777777778,0.010555555555555556,0.7222222222222222,24331.449999999997,23775.40000000001,556.0499999999884,5469825.0,4630623.0,1.1812287461104045,26.50384,26.50416,1.207357637433848e-05
1207,1,6febd898a51ff08685e9,4874f317ec06b97ab6c7,0.0022222222222222222,0.0022222222222222222,0.0,15960.199999999993,12081.449999999995,3878.749999999998,4336238.0,3752485.0,1.1555643793379586,25.64656,25.64144,-0.00019967677322330069
1208,1,7eff3390c2e18bc9a8d0,b13a35def6ce837457e3,0.002777777777777778,0.0033333333333333335,-0.055555555555555566,14102.559999999998,14948.509999999931,-845.9499999999334,4512693.0,3867624.0,1.1667868955203504,27.14624,27.15056,0.0001591127402160719
1209,1,ff60038d2ba5d12ac96b,980124871bd8217df95d,0.008888888888888889,0.0044444444444444444,0.4444444444444444,21227.72,17254.559999999845,3973.1600000001563,5245439.0,4199207.0,1.2491498990166476,26.88624,26.88992,0.00013685425616738467
1210,1,070247f44c8a2961eef8,e023c2557d12ae0730cd,0.0,0.0038888888888888888,-0.3888888888888889,8823.899999999998,14590.319999999985,-5766.419999999987,3245749.0,3598498.0,0.9019732677355942,27.26592,27.26528,-2.3473076381508307e-05
1211,1,4ae0a9a05d3b675aa5c1,29f8c62c35dc5617a4ed,0.010555555555555556,0.013333333333333334,-0.27777777777777785,21801.4,24802.25,-3000.8499999999985,5738941.0,4549213.0,1.2615239163345395,27.13968,27.1376,-7.664642414950684e-05
1212,1,b43a64ef0fd47aac8a2d,714c5841aed2a9e6805c,0.0005555555555555556,0.0022222222222222222,-0.16666666666666666,8356.02,6394.999999999998,1961.0200000000023,3238102.0,3155130.0,1.026297490119266,27.20608,27.20624,5.88100376974765e-06
1213,1,7f3a469e0e7051943468,47df2f5348cc8aeed2e6,0.02277777777777778,0.010555555555555556,1.2222222222222223,26923.16000000001,27254.000000000007,-330.8399999999965,6331735.0,5107732.0,1.239637279324757,26.93696,26.93552,-5.346100613601301e-05
1214,1,5c9d287b3c9899ea1208,940f2ee076663049dd85,0.007222222222222222,0.005,0.22222222222222218,16068.199999999964,12383.399999999987,3684.7999999999774,4358392.0,3681144.0,1.1839775895754145,26.42144,26.43024,0.0003329519520065549
1215,1,ccf8b1dd1578ecbf0044,94ae0a9657e849c71791,0.016666666666666666,0.011111111111111112,0.5555555555555555,24803.86999999998,23381.87000000001,1421.999999999971,5666729.0,4306668.0,1.315803539998904,26.65648,26.66096,0.00016803595969538954
1216,1,07ca98ad4565c39ad80c,cc799e1aabc86461a909,0.0044444444444444444,0.0044444444444444444,0.0,17726.29999999996,20209.749999999985,-2483.450000000026,4620340.0,4203976.0,1.0990405273483959,26.93776,26.93872,3.563643706894215e-05
1217,1,7a3ee5417946bb1abdc7,d6abeb90781b8dc304f9,0.009444444444444445,0.017222222222222222,-0.7777777777777778,19507.06000000003,24329.199999999953,-4822.139999999923,5106148.0,4749760.0,1.0750328437647376,26.40848,26.4064,-7.876878332524484e-05
1218,1,e693cb535bd4589a807b,187237d1d7bbaf93394a,0.0044444444444444444,0.0044444444444444444,0.0,20491.259999999984,18644.449999999993,1846.8099999999904,5069333.0,4247800.0,1.1934019963275107,26.19344,26.19504,6.108026557694046e-05
1219,1,1c9dfc6d94068a1d3224,5eda610455f3feadf25c,0.0,0.0044444444444444444,-0.4444444444444444,9906.619999999999,13140.939999999995,-3234.319999999996,3397592.0,3578360.0,0.9494830033870265,26.07136,26.07008,-4.9098430077609834e-05
1220,1,ce9bd1e4644384463c59,bb5250638373beb61ccc,0.021111111111111112,0.015555555555555555,0.5555555555555557,26673.569999999956,24792.649999999987,1880.9199999999691,5736733.0,4929796.0,1.1636856778657778,26.46944,26.46736,-7.858736194310545e-05
1221,1,19bffaf66365d295a751,2a0ed26277ea18b100da,0.0011111111111111111,0.0016666666666666668,-0.055555555555555566,8396.609999999995,13037.199999999995,-4640.59,3178176.0,3376008.0,0.9414006127947564,27.26384,27.26304,-2.9343756235533647e-05
1222,1,a487d047c904ca5b0976,17ebd67b1b5d59b00f20,0.025,0.015,1.0000000000000002,26698.200000000008,23493.079999999994,3205.1200000000135,5955104.0,4780987.0,1.24558046277892,26.74048,26.73808,-8.975962372770319e-05
1223,1,af4ead751c74ee6bc752,72aa26a2e0f7a775adf0,0.0,0.0005555555555555556,-0.05555555555555555,11146.659999999993,12708.299999999996,-1561.640000000003,3582033.0,3605158.0,0.9935855793282846,26.1088,26.10944,2.4512207079108173e-05
1224,1,c68dd8779a57a48e26f4,ff0a904673b924d9b0c7,0.020555555555555556,0.014444444444444444,0.6111111111111113,28196.35999999998,24688.139999999992,3508.2199999999866,5872084.0,5035529.0,1.1661305098232977,27.35904,27.36128,8.186751497007982e-05
1225,1,766fdd7956a345fea3a0,1f93f9296871d3984227,0.0016666666666666668,0.0011111111111111111,0.055555555555555566,13118.84,12557.45999999999,561.3800000000101,4193536.0,3697076.0,1.1342844994260328,26.42064,26.42128,2.422289911774289e-05
1226,1,81f7812d299197fa0c10,0782300e43a9c674dc6b,0.0044444444444444444,0.006666666666666667,-0.22222222222222227,19890.049999999996,20535.57999999998,-645.5299999999843,5588660.0,4368056.0,1.2794387251445494,26.02384,26.02384,0.0
1227,1,3e23a322579db986fb31,6d205f088223328859d7,0.0038888888888888888,0.0016666666666666668,0.22222222222222218,18474.12,18090.879999999997,383.2400000000016,4529353.0,4069184.0,1.1130863091961436,27.09552,27.10224,0.00024794998494581666
1228,1,4d253befc5e1db50f780,3522bf06cd2e79c86b28,0.0005555555555555556,0.0016666666666666668,-0.11111111111111113,12848.699999999999,10608.19999999999,2240.500000000009,3928551.0,3492601.0,1.1248210144817572,26.75152,26.75376,8.372654909072352e-05
1229,1,60d60ceddba90dcc1c30,84e5e0297f8765148167,0.006111111111111111,0.005,0.11111111111111113,20291.959999999966,20503.499999999985,-211.54000000001906,5426815.0,4244090.0,1.2786757585253847,27.19008,27.19616,0.00022356097331388547
1230,1,9bba68851cdc871e830c,f9b0ab3515e9cafaa96c,0.0,0.0,0.0,8563.54999999999,8970.23,-406.6800000000094,3145163.0,3269202.0,0.9620583249367889,26.5184,26.51536,-0.00011465052709058732
1231,1,694493a182efdeb62526,890ad9f563c79a0ede3e,0.035,0.019444444444444445,1.5555555555555558,28256.39999999997,25899.99999999999,2356.3999999999796,6200728.0,5194711.0,1.1936617840722996,27.11584,27.11984,0.00014749349553688784
1232,1,91863e474efb0984e2cb,a05738c7edadb030906c,0.0,0.0,0.0,9107.649999999998,7715.919999999998,1391.7299999999996,3358913.0,3215790.0,1.0445063265947092,25.71136,25.71168,1.244570560932079e-05
1233,1,78c2a0f94c06c8909877,0ec6f6288b5f56419e65,0.0077777777777777776,0.008333333333333333,-0.055555555555555566,23821.900000000063,21855.520000000004,1966.3800000000592,5574027.0,4498754.0,1.2390157363572225,26.94592,26.944,-7.125890736348062e-05
1234,1,0eed3ae95a0e4666918d,3491445a2e367d0607fd,0.0016666666666666668,0.0038888888888888888,-0.22222222222222218,15212.599999999977,14918.119999999935,294.4800000000414,4525175.0,4077704.0,1.1097360181121534,26.81424,26.81056,-0.00013725934855535193
1235,1,ad38930c5aad5bd9e7f6,635783a5c5b816c86c4d,0.02388888888888889,0.018333333333333333,0.5555555555555557,23447.04,22997.27999999999,449.7600000000093,6213372.0,4654812.0,1.3348277008824416,26.82816,26.82,-0.0003042505592840694
1236,1,47a6e9050a576256b716,c9422c2f67039c7af706,0.0005555555555555556,0.0005555555555555556,0.0,11169.819999999996,9754.96,1414.859999999997,3711636.0,3398590.0,1.0921105517288052,26.924,26.9232,-2.971414987817944e-05
1237,1,2668e4ea674edf60fb22,fde9f106c448dd865ece,0.008888888888888889,0.008333333333333333,0.055555555555555566,22926.260000000028,19413.04000000002,3513.2200000000084,5181168.0,4263079.0,1.2153581953325285,26.76304,26.76272,-1.1956931134093907e-05
1238,1,cfea881cda9814bdf2bb,82e1125e5be220a46f12,0.0011111111111111111,0.0022222222222222222,-0.1111111111111111,14076.25999999999,16644.74999999995,-2568.4899999999598,4558781.0,4293106.0,1.0618840997636676,26.39856,26.40176,0.00012120404094273507
1239,1,db44ab6138d9d8f5a5fc,918eeed99ef67106b31f,0.0,0.0,0.0,8030.149999999995,5637.609999999999,2392.5399999999963,3148432.0,3089228.0,1.0191646586137377,26.12192,26.12144,-1.8375709761819792e-05
1240,1,f2e3ff61a4c87e62ca60,475c8be95662fa01e784,0.013888888888888888,0.012222222222222223,0.16666666666666652,23507.279999999995,24970.630000000005,-1463.3500000000095,5729771.0,4834599.0,1.1851595137466417,27.28528,27.28336,-7.037256408315429e-05
1241,1,aeaf49371584c438f67e,171087865c8228376cdb,0.0005555555555555556,0.01,-0.9444444444444444,10525.779999999992,23490.18,-12964.400000000009,3412995.0,4015516.0,0.8499517870181565,26.38256,26.38048,-7.884617717346387e-05
1242,1,470539603ad863782b4d,a1839e8c0fc16653f137,0.028333333333333332,0.021111111111111112,0.722222222222222,27373.28,24336.399999999994,3036.8800000000047,6190905.0,5012461.0,1.2351028766109102,27.69632,27.69728,3.46604431915587e-05
1243,1,869a6e82af95e9c3ab90,506f0f84de9876c04478,0.0005555555555555556,0.0033333333333333335,-0.2777777777777778,15222.979999999996,16606.289999999997,-1383.3100000000013,4579040.0,4126308.0,1.109718421407224,26.1864,26.18576,-2.4440764751609834e-05
1244,1,bbe3feb8302c0620c0e9,8bf7cae4198bb5e4c282,0.011111111111111112,0.012222222222222223,-0.11111111111111113,26099.58000000003,26383.00000000003,-283.41999999999825,5650081.0,4869893.0,1.1602063946784869,25.65088,25.65616,0.00020579852947588684
1245,1,e1152fc5ca2e235a1b75,1d6f443b16c6c5ae782b,0.0022222222222222222,0.011111111111111112,-0.8888888888888888,10708.399999999998,19549.88,-8841.480000000003,3576846.0,4105374.0,0.8712594759941481,26.9456,26.94608,1.7813351700812774e-05
1246,1,4543ba7913a6821f493f,7c202e1a5fa74f048312,0.002777777777777778,0.007222222222222222,-0.44444444444444436,16221.799999999996,19409.479999999945,-3187.6799999999494,5081905.0,4313957.0,1.1780147553626519,26.97792,26.97744,-1.779264452084206e-05
1247,1,c8c4acab52b12e73ea50,1eebb36c7d2bf8120572,0.0033333333333333335,0.005,-0.16666666666666666,13714.589999999991,15288.099999999999,-1573.5100000000075,4028629.0,3867242.0,1.0417318078361788,26.67632,26.68,0.00013793103448278554
1248,1,8f07858709ba011c251f,3d20b7d76db232116778,0.0,0.005,-0.5,9072.25,20719.399999999936,-11647.149999999936,3418279.0,3907771.0,0.874738821696563,26.45968,26.45952,-6.046972885309643e-06
