scenario_id,arm_id,arm_label,run_count,generated_frames,completed_frames,incomplete_frames,late_completed_frames,deadline_misses,all_generated_deadline_miss_rate,all_generated_censored_mean_us,all_generated_censored_p50_us,all_generated_censored_p90_us,all_generated_censored_p99_us,completed_frame_p99_descriptive_us,mean_per_run_completed_p99_descriptive_us,sender_airtime_mean_us,link_0_airtime_mean_us,link_1_airtime_mean_us,background_bytes_received,miss_burst_count,miss_burst_mean_frames,miss_burst_p95_frames,miss_burst_max_frames,actions,action_packets,action_completion_rate,action_censored_mean_us,action_censored_p95_us,primary_mac_queue_packets_mean,primary_mac_queue_packets_p95,secondary_mac_queue_packets_mean,secondary_mac_queue_packets_p95,primary_frame_queue_packets_mean,primary_frame_queue_packets_p95,secondary_frame_queue_packets_mean,secondary_frame_queue_packets_p95,primary_ack_deficit_packets_mean,primary_ack_deficit_packets_p95
compound-shift-qualification-p19,ideal_systematic_fec_12p5_t2,Ideal FEC T2,4,7200,5061,2139,0,2139,0.2970833333333333,16447.635555555556,11782.0,33333.0,33333.0,32076.0,32130.362499999996,7724096.25,1030887.5,6693208.75,682425600,691,3.0955137481910273,10.0,28,7200,14640,0.9644444444444444,3601.6366666666668,22740.699999999946,14.47875,45.0,0.13444444444444445,0.0,9.406944444444445,11.0,0.0,0.0,9.406944444444445,11.0
obss-intensity-qualification-p17,str_mlo_nmaxinflights_1,STR MLO,4,7200,2009,5191,0,5191,0.7209722222222222,27083.745,33333.0,33333.0,33333.0,32566.760000000002,32497.027499999997,6061842.5,2102496.0,3959346.5,2178745200,586,8.858361774744028,33.0,139,0,0,,,,,,,,,,,,,
obss-intensity-qualification-p17,single_5ghz_no_redundancy,5 GHz only,4,7200,3125,4075,0,4075,0.5659722222222222,23240.142083333332,33333.0,33333.0,33333.0,32191.839999999997,32187.015,6039464.75,0.0,6039464.75,2128694400,649,6.278890600924499,27.0,98,0,0,,,,37.681805555555556,150.0,0.0,0.0,9.502361111111112,10.0,0.0,0.0,9.502361111111112,10.0
obss-intensity-qualification-p17,full_copy_t0,Full copy T0,4,7200,3389,3811,0,3811,0.5293055555555556,22400.414166666666,33333.0,33333.0,33333.0,32166.719999999998,32155.715000000004,12079142.5,6039677.75,6039464.75,2115931200,684,5.571637426900585,22.0,85,7200,75600,0.08958333333333333,31513.99638888889,33333.0,37.681805555555556,150.0,99.97763888888889,185.0,9.502361111111112,10.0,10.37,10.0,9.502361111111112,10.0
obss-intensity-qualification-p17,full_copy_t2,Full copy T2,4,7200,3412,3788,0,3788,0.5261111111111111,22354.86138888889,33333.0,33333.0,33333.0,32063.67,31909.2525,12356275.25,6316810.5,6039464.75,2111229600,697,5.434720229555237,22.199999999999932,75,7200,75600,0.09319444444444444,29550.192361111112,31333.0,37.681805555555556,150.0,94.32388888888889,180.0,9.502361111111112,10.0,0.0,0.0,9.502361111111112,10.0
obss-intensity-qualification-p17,oracle_eventual_missing_repair_t2,Deadline repair T2,4,7200,3597,3603,0,3603,0.5004166666666666,22052.304583333334,33333.0,33333.0,33333.0,32244.08,32332.235,10033631.5,3994166.75,6039464.75,2117877600,689,5.229317851959362,22.0,75,4075,41781,0.1158282208588957,29114.455214723926,31333.0,37.681805555555556,150.0,47.39791666666667,151.0,9.502361111111112,10.0,0.0,0.0,9.502361111111112,10.0
obss-intensity-qualification-p17,ideal_systematic_fec_12p5_t2,Ideal FEC T2,4,7200,3138,4062,0,4062,0.5641666666666667,23190.544444444444,33333.0,33333.0,33333.0,32184.86,32149.475,8186743.25,2147278.5,6039464.75,2122771200,649,6.258859784283513,27.0,98,7200,14760,0.21805555555555556,26499.908888888887,31333.0,37.681805555555556,150.0,12.14861111111111,35.0,9.502361111111112,10.0,0.0,0.0,9.502361111111112,10.0
obss-intensity-qualification-p19,str_mlo_nmaxinflights_1,STR MLO,4,7200,5137,2063,0,2063,0.28652777777777777,14458.394722222221,7273.0,33333.0,33333.0,30979.28,30607.97499999999,5826959.0,1898542.25,3928416.75,1566686400,592,3.4847972972972974,12.0,37,0,0,,,,,,,,,,,,,
obss-intensity-qualification-p19,single_5ghz_no_redundancy,5 GHz only,4,7200,4310,2890,0,2890,0.4013888888888889,18690.20097222222,17450.0,33333.0,33333.0,31781.719999999987,31743.765000000003,6401853.0,0.0,6401853.0,1572670800,611,4.729950900163666,17.5,53,0,0,,,,20.287222222222223,81.0,0.0,0.0,8.676111111111112,10.0,0.0,0.0,8.676111111111112,10.0
obss-intensity-qualification-p19,full_copy_t0,Full copy T0,4,7200,5921,1279,0,1279,0.1776388888888889,11162.752777777778,4666.5,33333.0,33333.0,31453.200000000023,29952.637500000004,13133224.0,6731371.0,6401853.0,1571170800,378,3.3835978835978837,12.0,47,7200,75600,0.6327777777777778,17121.46138888889,33333.0,20.287222222222223,81.0,17.765,69.0,8.676111111111112,10.0,8.408472222222223,10.0,8.676111111111112,10.0
obss-intensity-qualification-p19,full_copy_t2,Full copy T2,4,7200,5901,1299,0,1299,0.18041666666666667,11974.844444444445,5802.5,33333.0,33333.0,30902.0,29599.855000000003,13162471.25,6760618.25,6401853.0,1571402400,388,3.347938144329897,11.0,41,7200,75600,0.6252777777777778,16382.937916666666,31333.0,20.287222222222223,81.0,9.417222222222222,61.0,8.676111111111112,10.0,0.0,0.0,8.676111111111112,10.0
obss-intensity-qualification-p19,oracle_eventual_missing_repair_t2,Deadline repair T2,4,7200,5983,1217,0,1217,0.16902777777777778,13489.452916666667,8216.5,33333.0,33333.0,32359.620000000003,32210.745000000003,9359248.75,2957395.75,6401853.0,1572342000,369,3.2981029810298104,12.599999999999966,41,2890,29544,0.5785467128027681,17836.501730103806,31333.0,20.287222222222223,81.0,4.8925,32.0,8.676111111111112,10.0,0.0,0.0,8.676111111111112,10.0
obss-intensity-qualification-p19,ideal_systematic_fec_12p5_t2,Ideal FEC T2,4,7200,4326,2874,0,2874,0.39916666666666667,18574.42111111111,17141.0,33333.0,33333.0,31911.75,31818.0625,8499686.75,2097833.75,6401853.0,1572284400,609,4.719211822660099,17.0,53,7200,14760,0.6990277777777778,13143.100277777778,31333.0,20.287222222222223,81.0,1.39875,8.0,8.676111111111112,10.0,0.0,0.0,8.676111111111112,10.0
radio-propagation-qualification-p17,str_mlo_nmaxinflights_1,STR MLO,4,7200,5843,1357,0,1357,0.18847222222222224,13779.891527777778,9076.0,33333.0,33333.0,31765.739999999998,31516.3175,9971326.5,2147677.0,7823649.5,797797200,686,1.978134110787172,5.0,13,0,0,,,,,,,,,,,,,
radio-propagation-qualification-p17,single_5ghz_no_redundancy,5 GHz only,4,7200,5169,2031,0,2031,0.28208333333333335,17435.178472222222,14287.0,33333.0,33333.0,32079.6,32140.05,13170305.75,0.0,13170305.75,797730000,676,3.0044378698224854,9.0,26,0,0,,,,12.522916666666667,40.0,0.0,0.0,8.568194444444444,10.0,0.0,0.0,8.568194444444444,10.0
radio-propagation-qualification-p17,full_copy_t0,Full copy T0,4,7200,6989,211,0,211,0.029305555555555557,6283.7780555555555,3599.0,14462.600000000002,33333.0,26850.76,23827.847500000003,19858696.25,6688390.5,13170305.75,797684400,119,1.773109243697479,4.099999999999994,8,7200,75600,0.9230555555555555,8416.146527777777,33333.0,12.522916666666667,40.0,6.627638888888889,14.0,8.568194444444444,10.0,5.840416666666667,10.0,8.568194444444444,10.0
radio-propagation-qualification-p17,full_copy_t2,Full copy T2,4,7200,6989,211,0,211,0.029305555555555557,7580.805,5172.0,15551.500000000002,33333.0,27520.91999999999,24525.330000000013,19856008.0,6685702.25,13170305.75,797698800,130,1.623076923076923,4.549999999999997,7,7200,75600,0.9226388888888889,8199.099444444444,31333.0,12.522916666666667,40.0,0.7452777777777778,2.0,8.568194444444444,10.0,0.0,0.0,8.568194444444444,10.0
radio-propagation-qualification-p17,oracle_eventual_missing_repair_t2,Deadline repair T2,4,7200,7002,198,0,198,0.0275,12012.253888888888,9092.5,27475.600000000002,33333.0,32501.879999999997,32481.965000000004,15095449.25,1925143.5,13170305.75,797725200,128,1.546875,4.0,6,2031,19749,0.9044805514524865,8965.675036927621,31333.0,12.522916666666667,40.0,0.20402777777777778,0.0,8.568194444444444,10.0,0.0,0.0,8.568194444444444,10.0
radio-propagation-qualification-p17,ideal_systematic_fec_12p5_t2,Ideal FEC T2,4,7200,5219,1981,0,1981,0.2751388888888889,16991.008333333335,13548.0,33333.0,33333.0,32241.939999999995,32151.8825,14762117.5,1591811.75,13170305.75,797707200,660,3.0015151515151515,9.049999999999955,26,7200,14760,0.9629166666666666,3513.1441666666665,23117.899999999958,12.522916666666667,40.0,0.08930555555555555,0.0,8.568194444444444,10.0,0.0,0.0,8.568194444444444,10.0
