family_id,scenario_id,parameter_sample,seed,run,run_id,arm_id,generated_frames,completed_frames,incomplete_frames,late_completed_frames,deadline_misses,deadline_miss_rate,completed_p99_us,censored_mean_us,airtime_link_0_us,airtime_link_1_us,sender_airtime_us,background_bytes_received,actions,completed_actions,action_packets,build_host
compound_shift,compound-shift-qualification-p19,19,21174,1,355841dc8377302f9c26,full_copy_t2,1800,1723,77,0,77,0.042777777777777776,29658.84,8073.167777777778,5914865.0,6606256.0,12521121.0,171229200,1800,1547,20340,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21045,1,37d88e7dfa1ec4af43a3,str_mlo_nmaxinflights_1,1800,1249,551,0,551,0.3061111111111111,31061.92,15448.772777777778,1857337.0,4180576.0,6037913.0,395554800,0,0,0,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p19,19,21047,1,3e2b2f1e4be9a3371a66,full_copy_t0,1800,1733,67,0,67,0.03722222222222222,25393.440000000013,5332.178888888889,4298357.0,5749520.0,10047877.0,392353800,1800,1649,18900,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p17,17,21040,1,3ebc556408ba9dbf6fdc,full_copy_t2,1800,1312,488,0,488,0.27111111111111114,30735.02,15265.755555555555,5898564.0,6468241.0,12366805.0,468801600,1800,426,18900,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p17,17,21038,1,44efb9d82164d36064b7,str_mlo_nmaxinflights_1,1800,430,1370,0,1370,0.7611111111111111,32747.97999999999,28240.653333333332,2519330.0,5226601.0,7745931.0,566664000,0,0,0,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21046,1,453451c6a00a92f2f1a0,ideal_systematic_fec_12p5_t2,1800,605,1195,0,1195,0.6638888888888889,32084.800000000003,25849.031666666666,3601813.0,8280809.0,11882622.0,396069600,1800,664,3690,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21006,1,455b9a663e159c1cc43c,single_5ghz_no_redundancy,1800,1033,767,0,767,0.4261111111111111,32422.719999999998,21378.98222222222,0.0,18194054.0,18194054.0,203224800,0,0,0,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21005,1,47523028b03a26db3e07,oracle_eventual_missing_repair_t2,1800,1793,7,0,7,0.0038888888888888888,31816.0,9947.541666666666,581294.0,9206420.0,9787714.0,200654400,264,258,2577,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p17,17,21038,1,483ecb02cb9ff000d68f,full_copy_t0,1800,436,1364,0,1364,0.7577777777777778,32458.199999999997,28386.227777777778,7263590.0,6926272.0,14189862.0,561327600,1800,88,18900,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21007,1,497a2b24c3b28c0f6c51,ideal_systematic_fec_12p5_t2,1800,1137,663,0,663,0.36833333333333335,32766.360000000004,19549.966666666667,2535946.0,13917080.0,16453026.0,196345200,1800,1597,3690,wifi-exp-f2e354c
