scope,comparison,deadline_miss_rate_delta_estimate,deadline_miss_rate_delta_ci95_low,deadline_miss_rate_delta_ci95_high,completed_frame_p99_delta_us_estimate,completed_frame_p99_delta_us_ci95_low,completed_frame_p99_delta_us_ci95_high,sender_airtime_ratio_estimate,sender_airtime_ratio_ci95_low,sender_airtime_ratio_ci95_high,background_throughput_loss_estimate,background_throughput_loss_ci95_low,background_throughput_loss_ci95_high
wmm_off,score_aware_t2_v2_minus_str_mlo,-0.0022569444444444442,-0.003171296296296296,-0.0013773148148148147,-1684.0897916666725,-2626.9085260416687,-793.9359010416705,1.1219331882330472,1.084266265927655,1.1568042694079583,5.487118645253197e-05,2.804352464935156e-05,8.279525771087424e-05
wmm_off,distributional_shadow_t2_minus_str_mlo,-0.0027083333333333334,-0.003912037037037037,-0.0015624999999999999,-2039.021250000002,-3028.8573697916695,-1089.8796093749986,1.1663894065701172,1.1403157167131068,1.1906069661625625,5.062148180712267e-05,2.682409924334439e-05,7.549553436011767e-05
wmm_off,distributional_shadow_t2_minus_score_aware_t2_v2,-0.0004513888888888889,-0.0011342592592592593,0.0002546296296296296,-354.93145833332943,-675.1931979166628,-29.975661458331846,1.039624657513773,1.0288494331376608,1.0519394322698916,-4.249937844535978e-06,-1.1497933177667675e-05,2.6147225089284684e-06
wmm_on,score_aware_t2_v2_minus_str_mlo,-2.3148148148148147e-05,-5.787037037037037e-05,0.0,2220.640208333333,1940.3783333333329,2517.9482343749987,1.0323685783627259,1.0114678869138696,1.0522262176153672,2.562327363186956e-05,-4.983682833026304e-07,5.15007217116975e-05
wmm_on,distributional_shadow_t2_minus_str_mlo,-2.3148148148148147e-05,-5.787037037037037e-05,0.0,2214.4641666666657,1936.6046822916658,2512.1635208333328,1.0679070326666351,1.053570059891989,1.0815280818502924,2.049861890551785e-05,-5.152551445847253e-06,4.602345985152967e-05
wmm_on,distributional_shadow_t2_minus_score_aware_t2_v2,0.0,0.0,0.0,-6.176041666666738,-19.604281250000493,5.519031250000037,1.0344241921429567,1.0267297785842229,1.042783955736106,-5.124786040200391e-06,-1.3263288634784986e-05,1.8715026024185288e-06
wmm_on_minus_off,str_mlo,-0.007974537037037037,-0.009861400462962962,-0.0062037037037037035,-12804.879583333335,-14156.57260416667,-11437.80256770833,0.933085721240076,0.9125935927207178,0.955229076921055,2.1248523228711846e-06,-1.870738698032115e-05,2.2526981051376734e-05
wmm_on_minus_off,score_aware_t2_v2,-0.005740740740740741,-0.00738425925925926,-0.0042129629629629635,-8900.14958333333,-10367.587776041664,-7449.897171875,0.8585969197009639,0.8323011017008876,0.8887996537677473,-2.7124603302564054e-05,-5.214398416990007e-05,-3.503687521527743e-06
wmm_on_minus_off,distributional_shadow_t2,-0.005289351851851852,-0.006794270833333334,-0.0038657407407407408,-8551.394166666667,-10146.44690625,-6953.112828124999,0.8543020008414278,0.8297995044160155,0.8820816203972865,-2.7999471509998486e-05,-5.053663508052808e-05,-6.371418805317668e-06
