comparison_id,candidate_arm_id,baseline_arm_id,family_id,candidate__all_generated_deadline_miss_rate,baseline__all_generated_deadline_miss_rate,candidate__completed_frame_hf7_p99_us,baseline__completed_frame_hf7_p99_us,candidate__sender_airtime_us,baseline__sender_airtime_us,candidate__background_throughput_mbps,baseline__background_throughput_mbps,deadline_miss_delta,deadline_miss_delta__ci95_low,deadline_miss_delta__ci95_high,completed_p99_delta_us,completed_p99_delta_us__ci95_low,completed_p99_delta_us__ci95_high,sender_airtime_ratio,sender_airtime_ratio__ci95_low,sender_airtime_ratio__ci95_high,background_throughput_loss,background_throughput_loss__ci95_low,background_throughput_loss__ci95_high,relative_deadline_miss_reduction,relative_deadline_miss_reduction__ci95_low,relative_deadline_miss_reduction__ci95_high
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,radio_propagation,0.06919444444444445,0.05516666666666667,21223.58949999999,21803.036000000004,7090852.0,5790390.05,26.723072000000002,26.725376,0.014027777777777778,-0.0016944444444444446,0.038111111111111096,-579.4465000000127,-2130.429887500048,734.1603374999917,1.2245896975455048,1.0972766952123756,1.3248770810919428,8.62101996245146e-05,2.935366793526406e-05,0.00014782556547462966,-0.2542799597180261,-0.33175334234515136,0.2661899827963722
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_intensity,0.21647222222222223,0.222,27845.12699999999,27746.4565,6106394.25,5205311.15,46.659379306666665,47.05808181333334,-0.00552777777777777,-0.10683333333333322,0.06802916666666667,98.67049999998926,-1304.1931250000212,1500.1387250000093,1.1731084029434051,1.0941486709055772,1.2535435194449656,0.008472561806667334,-0.0034578590407634943,0.029989180010729113,0.024899899899899824,-0.6750474172608318,0.30900217632637833
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_geometry_mac,0.007833333333333333,0.00825,17933.0105,18529.77999999999,4832730.85,4228147.9,26.627816,26.629368,-0.0004166666666666676,-0.002027777777777774,0.0009444444444444474,-596.7694999999912,-3217.683600000001,1347.420712500003,1.1429900193415654,1.0772839377388117,1.2126770671210334,5.828151835973738e-05,-1.8072239623245779e-06,0.0001795797774170854,0.05050505050505061,-0.1333333333333333,0.24615942028985488
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,video_workload,0.017592592592592594,0.014597222222222222,13946.403999999997,15821.711500000001,5871352.45,5244712.25,26.526992,26.528584,0.002995370370370372,-0.004314930555555555,0.013236458333333338,-1875.3075000000044,-4554.748975000007,83.61487499998151,1.1194803775936422,1.0598421674626322,1.1692481552311433,6.00107416210971e-05,-5.448068098551362e-06,0.00012509742302077296,-0.20520139549635275,-0.5818732762703976,0.5028860294117646
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,legacy_coexistence,0.19924999999999998,0.11022222222222222,28951.503999999994,27871.956499999993,6296052.25,5148893.45,26.432976,26.640128,0.08902777777777776,0.028249305555555583,0.1581701388888888,1079.5475000000006,-861.082037500009,2949.9800999999998,1.2227971526581114,1.1002572764286944,1.3541243145401838,0.007775938614108746,0.000105171362368639,0.02973815853609454,-0.807711693548387,-1.4710436164681424,-0.4179385370809344
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,compound_shift,0.24660185185185185,0.1396574074074074,31349.707999999995,28967.704499999993,5910267.6,4673906.0,30.583696,30.655736,0.10694444444444445,0.05033315972222223,0.16379259259259263,2382.0035000000025,761.2649875000037,4334.040149999992,1.2645242758412343,1.1499719199871512,1.372589445080715,0.0023499680451319893,-0.02155383378744341,0.029042941226717064,-0.7657627792879402,-1.98267745435976,-0.32645845214582614
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,radio_propagation,0.06122222222222222,0.05516666666666667,21105.249500000005,21803.036000000004,7306634.5,5790390.05,26.722912,26.725376,0.00605555555555555,-0.0042499999999999994,0.022999999999999993,-697.7864999999983,-2445.35063750001,844.7472249999955,1.2618553218189508,1.1458982656994958,1.3527634452507178,9.219701904283895e-05,2.9329901364294476e-05,0.00016154127625025438,-0.10976837865055367,-0.21926745781853643,0.41418732116618967
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,obss_intensity,0.21300000000000002,0.222,27892.208999999995,27746.4565,6255123.45,5205311.15,46.667136373333335,47.05808181333334,-0.00899999999999998,-0.11028750000000002,0.06388888888888884,145.75249999999505,-1303.7901625000104,1682.0485624999783,1.2016809888492448,1.1193594426332298,1.2749789276484702,0.0083077215418762,-0.003769951423503531,0.031088717065254956,0.04054054054054046,-0.6459776762180536,0.3166570558691238
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,obss_geometry_mac,0.009027777777777777,0.00825,17430.559499999992,18529.77999999999,4999667.35,4228147.9,26.627944,26.629368,0.0007777777777777765,-0.0022777777777777783,0.004499999999999999,-1099.2204999999994,-3968.828625000009,1325.4256500000042,1.1824722001801307,1.1378893465057194,1.228874456054093,5.3474795196017944e-05,-1.8022616360025e-06,0.00017302521745573554,-0.09427609427609407,-0.6562559637404585,0.2572872828034498
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,video_workload,0.0173125,0.014597222222222222,13283.443499999998,15821.711500000001,6006662.65,5244712.25,26.5272,26.528584,0.00271527777777778,-0.004506944444444444,0.012134374999999996,-2538.2680000000037,-5318.855025000009,-274.94328750000057,1.1452797338881653,1.1035282807692777,1.1856233878933786,5.217014221337024e-05,-1.2632001511275746e-05,0.00012008597927094518,-0.18601332064700293,-0.5557351103291187,0.5191858885720928
