comparison_id,candidate_arm_id,baseline_arm_id,family_id,scenario_id,candidate__all_generated_deadline_miss_rate,baseline__all_generated_deadline_miss_rate,candidate__completed_frame_hf7_p99_us,baseline__completed_frame_hf7_p99_us,candidate__sender_airtime_us,baseline__sender_airtime_us,candidate__background_throughput_mbps,baseline__background_throughput_mbps,deadline_miss_delta,completed_p99_delta_us,sender_airtime_ratio,background_throughput_loss,relative_deadline_miss_reduction
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p16,0.00125,0.0020833333333333333,12892.752499999995,12054.209999999995,4084227.5,3617037.25,26.792160000000003,26.79208,-0.0008333333333333333,838.5424999999996,1.1291637928251914,-2.985957044066012e-06,0.4
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p17,0.24625,0.18847222222222224,31900.142499999998,31516.317500000005,13610812.0,9971326.5,26.59036,26.59324,0.05777777777777776,383.82499999999345,1.3649951187537586,0.00010829819909119465,-0.3065585851142225
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p18,0.0044444444444444444,0.006527777777777778,14473.929999999997,16879.689999999984,4334138.0,4082809.5,26.50908,26.51228,-0.0020833333333333337,-2405.7599999999875,1.061557733712533,0.00012069878561937752,0.3191489361702128
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p19,0.008472222222222223,0.009166666666666667,19852.574999999986,20683.410000000018,5293275.75,4443484.0,27.08032,27.08228,-0.0006944444444444437,-830.8350000000319,1.19124447168033,7.237204548515841e-05,0.07575757575757569
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p20,0.08555555555555557,0.06958333333333333,26998.547499999986,27881.55250000002,8131806.75,6837293.0,26.643440000000002,26.647,0.015972222222222235,-883.0050000000338,1.1893313260086997,0.0001335985289149244,-0.22954091816367295
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_intensity,obss-intensity-qualification-p16,0.028055555555555556,0.028333333333333335,23184.502499999966,25101.247499999998,5466168.75,4538807.0,30.334600000000002,30.33484,-0.00027777777777777957,-1916.7450000000317,1.2043183924762608,7.911694935525126e-06,0.009803921568627527
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_intensity,obss-intensity-qualification-p17,0.5604166666666667,0.7209722222222222,32263.757500000003,32497.027499999997,6488132.25,6061842.5,70.82384,72.62484,-0.16055555555555556,-233.26999999999316,1.0703234618847322,0.024798677697603244,0.22269312271238684
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_intensity,obss-intensity-qualification-p18,0.07902777777777778,0.04416666666666667,25342.467499999966,24881.022500000006,5878432.75,4716788.75,40.72996,40.85692,0.034861111111111114,461.4449999999597,1.2462785724715784,0.003107429537028361,-0.7893081761006291
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_intensity,obss-intensity-qualification-p19,0.37777777777777777,0.28652777777777777,31665.0975,30607.97499999999,6840596.0,5826959.0,52.15796,52.22288,0.09125,1057.1225000000086,1.1739564325062182,0.001243133277980868,-0.31846825012118285
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_intensity,obss-intensity-qualification-p21,0.03708333333333333,0.03,26769.810000000005,25645.010000000002,5858641.5,4882158.5,39.25053653333333,39.250929066666664,0.00708333333333333,1124.800000000003,1.200010507647386,1.0000612537530706e-05,-0.23611111111111094
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_geometry_mac,obss-geometry-mac-qualification-p16,0.005694444444444445,0.005138888888888889,15574.714999999993,15027.384999999987,4452860.0,3975667.75,26.61916,26.6244,0.0005555555555555557,547.3300000000054,1.1200282015518022,0.000196811946935882,-0.10810810810810811
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_geometry_mac,obss-geometry-mac-qualification-p17,0.0018055555555555557,0.002361111111111111,14730.129999999996,14481.147499999995,4440771.75,3848751.25,26.66572,26.66572,-0.0005555555555555554,248.98250000000007,1.1538214505289215,0.0,0.23529411764705876
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_geometry_mac,obss-geometry-mac-qualification-p18,0.00875,0.008194444444444445,19949.06249999999,18304.989999999976,5023189.25,4033800.5,26.52368,26.52368,0.0005555555555555557,1644.072500000013,1.2452745865840416,0.0,-0.06779661016949157
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_geometry_mac,obss-geometry-mac-qualification-p19,0.010555555555555556,0.011388888888888888,20462.602500000015,21611.2575,5244498.0,4625467.5,26.86652,26.86904,-0.0008333333333333318,-1148.6549999999843,1.1338309046599073,9.378824103867256e-05,0.07317073170731692
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,obss_geometry_mac,obss-geometry-mac-qualification-p20,0.012361111111111111,0.014166666666666666,18948.542500000003,23224.120000000006,5002335.25,4657052.5,26.464,26.464,-0.001805555555555555,-4275.577500000003,1.0741419062808504,0.0,0.12745098039215685
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,video_workload,video-workload-qualification-p16,0.02777777777777778,0.01826388888888889,11542.612499999997,11395.992499999997,6751311.25,5817001.25,26.2348,26.23728,0.009513888888888891,146.6200000000008,1.1606171220953407,9.452199313342291e-05,-0.5209125475285172
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,video_workload,video-workload-qualification-p17,0.04597222222222223,0.028958333333333332,12957.282499999998,12774.942500000003,9855391.0,8745437.75,26.738680000000002,26.7426,0.017013888888888894,182.3399999999947,1.1269179750321818,0.0001465826060291775,-0.5875299760191848
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,video_workload,video-workload-qualification-p18,0.004861111111111111,0.009375,19552.639999999967,24407.360000000008,4194030.5,3925653.75,26.85976,26.85892,-0.0045138888888888885,-4854.720000000041,1.0683648551531066,-3.127452630269367e-05,0.4814814814814814
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,video_workload,video-workload-qualification-p19,0.0044444444444444444,0.008611111111111111,15477.090000000018,18477.95749999999,4213265.5,3892198.25,26.3436,26.34484,-0.004166666666666667,-3000.867499999971,1.0824899528177938,4.706804064869008e-05,0.4838709677419355
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,video_workload,video-workload-qualification-p20,0.004907407407407407,0.0077777777777777776,10202.395000000004,12052.305000000011,4342764.0,3843270.25,26.45812,26.45928,-0.0028703703703703703,-1849.9100000000071,1.1299658149202492,4.3840951076457024e-05,0.36904761904761907
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,legacy_coexistence,legacy-coexistence-qualification-p16,0.03166666666666667,0.02847222222222222,24452.999999999978,25977.052499999976,5283358.0,5052413.5,26.56484,26.56676,0.0031944444444444477,-1524.052499999998,1.0457097385239746,7.227076241134167e-05,-0.11219512195121961
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,legacy_coexistence,legacy-coexistence-qualification-p17,0.47388888888888886,0.3023611111111111,32564.785,31424.880000000005,7029593.75,6263381.0,26.85932,26.90212,0.17152777777777778,1139.9049999999952,1.1223321317991033,0.001590952683282909,-0.5672944418925128
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,legacy_coexistence,legacy-coexistence-qualification-p18,0.2797222222222222,0.13083333333333333,31903.085000000003,30560.69999999999,7370389.0,5549308.25,26.536360000000002,26.545160000000003,0.14888888888888888,1342.385000000013,1.3281635598454997,0.0003315105277196251,-1.1380042462845008
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,legacy_coexistence,legacy-coexistence-qualification-p19,0.12444444444444444,0.06166666666666667,28793.270000000004,28626.510000000002,6018301.75,4722157.5,25.51124,26.49072,0.06277777777777777,166.76000000000204,1.2744813678916893,0.03697445747038963,-1.0180180180180178
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,legacy_coexistence,legacy-coexistence-qualification-p20,0.08652777777777777,0.027777777777777776,27043.379999999986,22770.639999999996,5778618.75,4157207.0,26.69312,26.69588,0.05875,4272.739999999991,1.390024299968705,0.00010338673982646096,-2.115
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,compound_shift,compound-shift-qualification-p16,0.5170138888888889,0.39774305555555556,40504.0925,39107.645,4855134.5,4359450.75,39.49224,39.51072,0.11927083333333333,1396.447500000002,1.113703257227989,0.0004677211652938107,-0.29986905281536447
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,compound_shift,compound-shift-qualification-p17,0.22083333333333333,0.07680555555555556,30552.245,29393.797499999993,5784886.75,4165884.0,28.33232,29.50524,0.14402777777777775,1158.4475000000057,1.3886336609468724,0.039752938800023396,-1.8752260397830018
