family_id,scenario_id,parameter_sample,seed,run,str_mlo_nmaxinflights_1__all_generated_deadline_miss_rate,str_mlo_nmaxinflights_1__completed_frame_hf7_p99_us,str_mlo_nmaxinflights_1__sender_airtime_us,str_mlo_nmaxinflights_1__background_throughput_mbps,score_aware_t2_v2__all_generated_deadline_miss_rate,score_aware_t2_v2__completed_frame_hf7_p99_us,score_aware_t2_v2__sender_airtime_us,score_aware_t2_v2__background_throughput_mbps,distributional_shadow_t2__all_generated_deadline_miss_rate,distributional_shadow_t2__completed_frame_hf7_p99_us,distributional_shadow_t2__sender_airtime_us,distributional_shadow_t2__background_throughput_mbps,score_aware_t2_v2_minus_str_mlo_nmaxinflights_1__deadline_miss_delta,score_aware_t2_v2_minus_str_mlo_nmaxinflights_1__completed_p99_delta_us,score_aware_t2_v2_minus_str_mlo_nmaxinflights_1__sender_airtime_ratio,score_aware_t2_v2_minus_str_mlo_nmaxinflights_1__background_throughput_loss,score_aware_t2_v2_minus_str_mlo_nmaxinflights_1__relative_deadline_miss_reduction,distributional_shadow_t2_minus_str_mlo_nmaxinflights_1__deadline_miss_delta,distributional_shadow_t2_minus_str_mlo_nmaxinflights_1__completed_p99_delta_us,distributional_shadow_t2_minus_str_mlo_nmaxinflights_1__sender_airtime_ratio,distributional_shadow_t2_minus_str_mlo_nmaxinflights_1__background_throughput_loss,distributional_shadow_t2_minus_str_mlo_nmaxinflights_1__relative_deadline_miss_reduction,distributional_shadow_t2_minus_score_aware_t2_v2__deadline_miss_delta,distributional_shadow_t2_minus_score_aware_t2_v2__completed_p99_delta_us,distributional_shadow_t2_minus_score_aware_t2_v2__sender_airtime_ratio,distributional_shadow_t2_minus_score_aware_t2_v2__background_throughput_loss,distributional_shadow_t2_minus_score_aware_t2_v2__relative_deadline_miss_reduction
radio_propagation,radio-propagation-qualification-p16,16,21001,1,0.0,5766.14,3090544.0,26.64416,0.0,8360.169999999998,3132716.0,26.64384,0.0,7682.099999999999,3248882.0,26.64384,0.0,2594.029999999998,1.0136454941266004,1.201013655516281e-05,,0.0,1915.9599999999991,1.0512330515274981,1.201013655516281e-05,,0.0,-678.0699999999988,1.0370815611756699,0.0,
radio_propagation,radio-propagation-qualification-p16,16,21002,1,0.002777777777777778,20387.5,4137898.0,26.83136,0.0016666666666666668,19788.32,4947596.0,26.83184,0.0011111111111111111,18622.27999999999,5022593.0,26.83184,-0.0011111111111111111,-599.1800000000003,1.1956785788339876,-1.7889514359215042e-05,0.4,-0.0016666666666666668,-1765.2200000000084,1.2138029985272716,-1.7889514359215042e-05,0.6000000000000001,-0.0005555555555555557,-1166.0400000000081,1.0151582708046494,0.0,0.33333333333333337
radio_propagation,radio-propagation-qualification-p16,16,21003,1,0.0,5617.17,3090937.0,27.1808,0.0016666666666666668,7934.719999999994,3168210.0,27.1808,0.0016666666666666668,7430.399999999997,3299629.0,27.1808,0.0016666666666666668,2317.549999999994,1.0249998625012415,0.0,,0.0016666666666666668,1813.2299999999968,1.0675173903576811,0.0,,0.0,-504.319999999997,1.0414805205463022,0.0,0.0
radio_propagation,radio-propagation-qualification-p16,16,21004,1,0.005555555555555556,16446.029999999984,4148770.0,26.512,0.0016666666666666668,15487.799999999985,5088388.0,26.51216,0.0016666666666666668,17172.799999999996,5082552.0,26.51216,-0.0038888888888888888,-958.2299999999996,1.2264811016277113,-6.0350030175460034e-06,0.7,-0.0038888888888888888,726.7700000000114,1.225074419647269,-6.0350030175460034e-06,0.7,0.0,1685.000000000011,0.9988530748834404,0.0,0.0
radio_propagation,radio-propagation-qualification-p17,17,21005,1,0.065,29779.560000000012,7073012.0,26.75856,0.10666666666666667,30643.65,9640446.0,26.75376,0.105,30797.300000000017,9665319.0,26.7528,0.04166666666666667,864.0899999999892,1.3629901942764977,0.0001793818501444333,-0.641025641025641,0.039999999999999994,1017.7400000000052,1.366506800780205,0.00021525822017320895,-0.6153846153846152,-0.0016666666666666774,153.650000000016,1.0025800673537304,3.5882806753151364e-05,0.01562500000000011
radio_propagation,radio-propagation-qualification-p17,17,21006,1,0.30333333333333334,32202.35,12738720.0,27.10048,0.39222222222222225,32372.35999999999,18633379.0,27.09664,0.35388888888888886,32142.83999999999,18881438.0,27.09664,0.0888888888888889,170.00999999999112,1.4627355809688884,0.00014169490724891265,-0.2930402930402931,0.05055555555555552,-59.51000000000931,1.4822084165442053,0.00014169490724891265,-0.16666666666666652,-0.038333333333333386,-229.52000000000044,1.0133126149583498,0.0,0.09773371104815876
radio_propagation,radio-propagation-qualification-p17,17,21007,1,0.27944444444444444,32590.519999999997,11435258.0,26.18256,0.3472222222222222,32691.260000000002,14366473.0,26.1792,0.3194444444444444,32303.04,14940402.0,26.18096,0.06777777777777777,100.74000000000524,1.2563313394415763,0.00012832969732512467,-0.24254473161033796,0.03999999999999998,-287.4799999999959,1.3065207623649593,6.110937967862551e-05,-0.14314115308151076,-0.02777777777777779,-388.22000000000116,1.0399491928185853,-6.722894511668187e-05,0.08000000000000007
radio_propagation,radio-propagation-qualification-p17,17,21008,1,0.10611111111111111,31492.840000000007,8638316.0,26.33136,0.1388888888888889,31893.300000000003,11802950.0,26.33184,0.12777777777777777,31959.03,12025453.0,26.33088,0.03277777777777778,400.4599999999955,1.3663484873672136,-1.822921413863199e-05,-0.30890052356020936,0.021666666666666654,466.1899999999914,1.3921061697673482,1.8229214138520966e-05,-0.2041884816753925,-0.011111111111111127,65.72999999999593,1.018851473572285,3.6457763680775024e-05,0.08000000000000007
radio_propagation,radio-propagation-qualification-p18,18,21009,1,0.005,17751.899999999976,4089476.0,25.708,0.002777777777777778,15939.959999999995,4742104.0,25.69936,0.002777777777777778,15880.419999999998,4823753.0,25.69904,-0.0022222222222222222,-1811.9399999999805,1.1595871940561577,0.0003360821534152958,0.4444444444444444,-0.0022222222222222222,-1871.4799999999777,1.1795528326856546,0.00034852964057874303,0.4444444444444444,0.0,-59.539999999997235,1.0172178847195252,1.2451671948188192e-05,0.0
radio_propagation,radio-propagation-qualification-p18,18,21010,1,0.0033333333333333335,16032.32999999998,3824021.0,26.96576,0.0,10592.309999999998,3721335.0,26.96752,0.0,9959.27,4102148.0,26.96704,-0.0033333333333333335,-5440.019999999982,0.9731471139933593,-6.526795462091783e-05,1.0,-0.0033333333333333335,-6073.0599999999795,1.0727315566520164,-4.7467603360829e-05,1.0,0.0,-633.0399999999972,1.1023323619077563,1.7799189543588056e-05,
